LOCATION,SUBJECT,FREQUENCY,TIME,GDP_MLN_USD,GDP_USD_CAP,LTINT,debt_gdp
GRC,TOT,A,2016,296029.545,27471.218206,8.36,189.4006
GRC,TOT,A,2017,308068.164,28644.977147,5.978333,192.7498
GRC,TOT,A,2018,318561.979,29680.902369,4.185,199.0986
GRC,TOT,A,2019,330966.206,30869.249859,2.585833,200.2388
GRC,TOT,A,2020,303970.143,28389.13061,1.271667,NA
HUN,TOT,A,2006,184680.779,18337.205217,7.115833,70.9571
HUN,TOT,A,2007,191472.991,19041.087901,6.744167,71.97618
HUN,TOT,A,2008,207757.652,20696.728568,8.238334,75.83703
HUN,TOT,A,2009,207359.074,20689.046702,9.123333,85.10708
HUN,TOT,A,2010,217167.008,21716.650836,7.281667,86.23153
HUN,TOT,A,2011,229348.032,22999.830605,7.635409,95.2635
HUN,TOT,A,2012,230214.451,23206.255116,7.890833,98.6748
HUN,TOT,A,2013,242367.239,24498.658689,5.923333,97.39288
HUN,TOT,A,2014,253001.466,25642.556756,4.809166,100.8088
HUN,TOT,A,2015,263571.392,26777.470459,3.4325,98.90455
HUN,TOT,A,2016,273925.72,27911.664733,3.143333,98.76281
HUN,TOT,A,2017,288403.654,29465.126306,2.9625,93.12068
HUN,TOT,A,2018,311175.568,31831.981048,3.058333,86.56531
HUN,TOT,A,2019,331796.894,33956.821868,2.465,83.49159
HUN,TOT,A,2020,327775.401,33618.934605,2.225,97.53915
ISL,TOT,A,2006,12044.114,39579.737256,8.830566,53.57243
ISL,TOT,A,2007,12902.915,41435.17855,9.419559,49.02363
ISL,TOT,A,2008,13879.916,43456.216759,11.06824,92.83931
ISL,TOT,A,2009,13343.517,41802.999355,8.256277,106.8859
ISL,TOT,A,2010,12659.835,39810.803416,6.085834,110.3226
ISL,TOT,A,2011,13059.434,40938.664549,5.978333,117.6031
ISL,TOT,A,2012,13471.498,42006.543346,6.194167,115.6603
ISL,TOT,A,2013,14378.252,44404.731588,5.789166,106.9493
ISL,TOT,A,2014,15058.764,45995.001692,6.373333,NA
ISL,TOT,A,2015,16276.45,49203.294991,6.259167,NA
ISL,TOT,A,2016,17939.411,53486.615773,5.603333,NA
ISL,TOT,A,2017,19106.258,55638.491978,4.858333,NA
