LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes,in_comparators,balance_pc,bal_05ya,bal_07ya,bal_10ya,min_05y,min_03y,min_05y_no_GFC,min_03y_no_GFC
NOR,GGNLEND,TOT,PC_GDP,A,1999,-5.81019508,NA,TRUE,5.81019508,-8.945157838,-8.561722765571428,-8.1142275876,-7.460003154,-7.460003154,-7.460003154,-7.460003154
NZL,GGNLEND,TOT,PC_GDP,A,1992,2.582423476,NA,TRUE,-2.582423476,1.3773000097999997,0.9825102828571431,0.6611118601000002,2.582423476,2.582423476,2.582423476,2.582423476
POL,GGNLEND,TOT,PC_GDP,A,2004,5.007657345,NA,FALSE,-5.007657345,4.667818992,4.280424007142857,4.4815470271999995,3.994345897,4.817572709,3.994345897,4.817572709
PRT,GGNLEND,TOT,PC_GDP,A,2005,6.130316138,NA,FALSE,-6.130316138,5.0099262768,4.583370940428572,5.814442158299999,3.33438222,5.656042413,3.33438222,5.656042413
RUS,GGNLEND,TOT,PC_GDP,A,2018,-3.181347172,NA,FALSE,3.181347172,NA,NA,NA,-3.181347172,-3.181347172,-3.181347172,-3.181347172
SVK,GGNLEND,TOT,PC_GDP,A,2000,12.6309704,NA,FALSE,-12.6309704,8.108428966400002,7.132637128428572,6.493474686899999,5.296969505,5.296969505,5.296969505,5.296969505
SVN,GGNLEND,TOT,PC_GDP,A,2003,2.594656463,NA,FALSE,-2.594656463,2.536918777,2.508635065857143,2.1974885146000003,2.37436471,2.37436471,2.37436471,2.37436471
SWE,GGNLEND,TOT,PC_GDP,A,1999,-0.633121572,NA,TRUE,0.633121572,-0.8948000452,0.0057940235714286,0.7901821157000001,-0.845833885,-0.845833885,-0.845833885,-0.845833885
TUR,GGNLEND,TOT,PC_GDP,A,2018,2.799638059,NA,FALSE,-2.799638059,NA,NA,NA,-0.643112143,1.110055987,-0.643112143,1.110055987
USA,GGNLEND,TOT,PC_GDP,A,1986,6.181641709,NA,FALSE,-6.181641709,5.538424464,5.562494738714285,5.651775832499999,5.831847678,5.831847678,5.831847678,5.831847678
ZAF,GGNLEND,TOT,PC_GDP,A,2018,3.363686823,NA,FALSE,-3.363686823,NA,NA,NA,3.363686823,3.363686823,3.363686823,3.363686823
