Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.SE.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.SE.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.SE.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.SE.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.SE.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T,,
2015Sep,115438,25.343,15738,3.455,20258,4.447,10424,0,24759,151433,2.054,2.289,0,5.436,33.246,117710,2.365,25.842,1.936,2.901,13984,1.463,3.07,19740,-0.362,4.334,7731,1.697,2.516,0.586,9654,2.119,0.02,0.23,SE,0
2015Aug,113830,24.99,13938,3.06,21742,4.773,10459,0,24983,149510,2.089,2.296,0,5.485,32.824,114801,2.379,25.204,1.928,2.964,13525,1.468,2.969,21183,-0.245,4.651,13952,3.063,2.367,0.616,9365,2.056,0.029,0.238,SE,0
2015Jul,114034,25.035,21594,4.741,18468,4.055,10459,0,22710,154096,2.083,2.296,0,4.986,33.831,122752,2.363,26.949,2.179,2.935,13275,1.301,2.915,18069,-0.203,3.967,5334,1.171,0.783,0.264,1783,0.391,0.055,0.263,SE,0
2015Jun,121785,26.737,16358,3.591,19503,4.282,10459,0,22506,157647,2.191,2.296,0,4.941,34.61,124896,2.512,27.42,3.262,2.938,13636,1.458,2.994,19115,-0.181,4.196,23921,5.252,0.791,0.29,10752,2.36,0.075,0.269,SE,0
2015May,136541,29.976,16166,3.549,18109,3.976,10414,0,23472,170816,2.27,2.286,0,5.153,37.501,123589,2.511,27.133,3.408,2.951,29035,1.443,6.374,18193,-0.183,3.994,11532,2.532,0.73,0.31,10811,2.373,0.083,0.27,SE,0
2015Apr,132659,29.124,17933,3.937,20945,4.598,10414,0,26321,171537,2.262,2.286,0,5.779,37.66,122130,2.555,26.813,3.475,3.023,28862,1.357,6.336,20545,-0.032,4.511,6782,1.489,0.86,0.368,5586,1.226,0.137,0.313,SE,0
2015Mar,132685,29.13,17961,3.943,22087,4.849,10459,0,29015,172733,2.185,2.296,0,6.37,37.922,121843,2.521,26.75,2.99,3.03,28925,1.294,6.35,21965,0.119,4.822,9024,1.981,3.54,1.138,11714,2.572,0.165,0.336,SE,0
2015Feb,128120,28.128,17851,3.919,24029,5.275,10509,0,27898,170000,2.23,2.307,0,6.125,37.322,116676,2.573,25.615,3.028,3.078,29336,1.309,6.44,23988,0.162,5.266,14475,3.178,3.677,1.204,13208,2.9,0.202,0.339,SE,0
2015Jan,124478,27.328,19017,4.175,27750,6.092,10159,0,33124,171245,2.056,2.23,0,7.272,37.595,115290,2.633,25.311,3.25,3.135,27737,0.622,6.089,28219,0.188,6.195,7591,1.667,3.919,1.372,13109,2.878,0.239,0.37,SE,0
2014Dec,119670,27.27,19850,4.523,26208,5.972,10114,0,30002,165728,2.007,2.305,0,6.837,37.765,111674,2.647,25.448,3.001,3.116,28083,0.646,6.4,25970,0.169,5.918,9293,2.118,4.011,2.189,29101,6.631,0.268,0.382,SE,0
2014Nov,109821,25.026,15649,3.566,20427,4.655,10039,0,23339,145897,2.27,2.288,0,5.318,33.246,111503,2.637,25.409,2.808,3.086,12135,1.657,2.765,22258,0.184,5.072,8249,1.88,4.021,2.259,10339,2.356,0.297,0.473,SE,0
2014Oct,104559,23.827,16517,3.764,22731,5.18,10039,0,26674,143807,2.345,2.288,0,6.078,32.77,109552,2.725,24.964,3.104,3.216,10259,1.622,2.338,23996,0.249,5.468,8956,2.041,4.289,2.428,8211,1.871,1.836,1.603,SE,0
2014Sep,106964,24.375,17863,4.07,19696,4.488,10039,0,25384,144523,2.372,2.288,0,5.784,32.933,111742,2.692,25.464,2.877,3.18,11797,2.135,2.688,20984,0.261,4.782,10265,2.339,4.598,2.463,14237,3.244,2.104,1.789,SE,0
2014Aug,101961,23.235,17571,4.004,21018,4.789,10039,100,24108,140550,2.457,2.288,0.023,5.494,32.028,106836,2.707,24.345,2.715,3.195,11408,2.186,2.6,22306,0.307,5.083,8423,1.919,4.556,2.741,9375,2.136,2.163,1.882,SE,0
2014Jul,107206,24.43,9580,2.183,22811,5.198,10069,101,25765,139598,2.385,2.295,0.023,5.871,31.811,105911,2.706,24.135,2.769,3.19,9597,1.902,2.187,24090,0.41,5.49,8606,1.961,4.066,2.743,5320,1.212,2.371,1.915,SE,0
2014Jun,112371,25.607,9420,2.147,21092,4.806,10119,100,23492,142884,2.366,2.306,0.023,5.353,32.56,109128,2.685,24.868,0.891,3.089,11373,2.345,2.592,22383,0.425,5.101,8563,1.951,3.91,2.741,9136,2.082,2.639,2.051,SE,0
2014May,111735,25.462,10760,2.452,19805,4.513,10649,99,21309,142300,2.505,2.427,0.023,4.856,32.427,109852,2.698,25.033,0.889,3.076,11336,2.435,2.583,21112,0.64,4.811,18028,4.108,4.109,3.364,22377,5.099,3.017,2.209,SE,0
2014Apr,102861,23.44,21655,4.935,13434,3.061,11369,98,17820,137951,2.526,2.591,0.022,4.061,31.436,113288,2.709,25.816,0.864,3.06,9919,2.251,2.26,14744,0.733,3.36,9772,2.227,1.157,2.795,5561,1.267,3.22,2.372,SE,0
2014Mar,103880,23.672,21641,4.932,16641,3.792,11294,97,18688,142162,2.816,2.574,0.022,4.259,32.395,113446,3.046,25.852,3.922,3.114,11112,2.485,2.532,17604,0.655,4.012,8077,1.841,1.327,2.827,9518,2.169,4.373,3.063,SE,0
2014Feb,104823,23.887,20902,4.763,14995,3.417,11184,98,17113,140721,2.761,2.549,0.022,3.9,32.067,113874,2.991,25.949,3.778,2.975,10920,2.156,2.488,15927,0.766,3.629,11172,2.546,1.31,2.944,10890,2.482,4.58,3.124,SE,0
2014Jan,103415,23.566,20125,4.586,17463,3.979,12969,98,20870,141003,2.855,2.955,0.022,4.756,32.131,111608,3.05,25.433,3.769,3.267,10995,2.175,2.505,18401,0.821,4.193,3597,0.82,1.462,1.712,8814,2.009,4.908,3.097,SE,0
2013Dec,103491,23.422,18877,4.272,13418,3.037,12119,97,18668,135786,3.24,2.743,0.022,4.225,30.731,111839,3.024,25.311,3.884,3.268,10753,2.243,2.434,13195,7.815,2.986,3607,0.816,1.498,1.76,5658,1.281,4.918,2.726,SE,0
2013Nov,100493,22.744,18953,4.289,14290,3.234,11358,133,17312,133736,3.224,2.57,0.03,3.918,30.267,109282,3.041,24.733,4.086,3.319,10396,2.298,2.353,14057,6.241,3.181,7261,1.643,1.506,1.816,6207,1.405,4.932,2.739,SE,0
2013Oct,102111,23.11,17735,4.014,14944,3.382,10358,128,18445,134789,2.834,2.344,0.029,4.174,30.506,109542,3.055,24.792,4.097,3.278,10522,2.368,2.381,14725,0.788,3.333,4271,0.967,1.357,1.882,9665,2.187,2.411,1.578,SE,0
2013Sep,103093,23.332,16702,3.78,9600,2.173,10273,131,19781,129395,2.89,2.325,0.03,4.477,29.285,109514,3.067,24.785,4.351,3.304,10507,2.396,2.378,9374,0.478,2.122,10825,2.45,1.38,1.921,8847,2.002,2.517,1.559,SE,0
2013Aug,100765,22.805,19099,4.323,11509,2.605,11343,130,20690,131372,2.973,2.567,0.029,4.683,29.732,109710,3.086,24.83,4.605,3.371,10410,2.401,2.356,11252,0.938,2.547,4459,1.009,3.961,3.064,6439,1.457,3.302,1.716,SE,0
2013Jul,97077,21.971,20313,4.597,12002,2.716,11393,131,16711,129392,2.891,2.578,0.03,3.782,29.284,107148,3.122,24.25,4.102,3.358,10446,2.412,2.364,11798,0.809,2.67,3363,0.761,4.2,3.059,2559,0.579,3.099,1.784,SE,0
2013Jun,96198,21.772,20380,4.612,13618,3.082,11393,136,17097,130196,2.86,2.578,0.031,3.869,29.466,106192,3.096,24.033,3.929,3.36,10717,2.418,2.425,13287,0.806,3.007,8178,1.851,4.202,2.196,3668,0.83,3.099,1.785,SE,0
2013May,97401,22.044,19301,4.368,18005,4.075,11258,134,17779,134707,3.208,2.548,0.03,4.024,30.487,106236,3.135,24.043,3.95,3.36,10810,2.821,2.446,17661,4.737,3.997,9094,2.058,4.356,2.371,8122,1.838,3.053,1.847,SE,0
2013Apr,108817,24.628,7138,1.616,19723,4.464,11223,94,19157,135678,3.211,2.54,0.021,4.336,30.707,105823,3.181,23.95,4.145,3.347,10543,2.485,2.386,19312,4.462,4.371,13661,3.092,4.54,2.463,12526,2.835,3.201,1.879,SE,0
2013Mar,111147,25.155,6821,1.544,18845,4.265,11223,697,19593,136812,3.12,2.54,0.158,4.434,30.963,105560,3.313,23.89,1.291,3.574,12083,2.616,2.735,19169,0.99,4.338,15091,3.415,4.546,2.487,14450,3.27,1.027,1.04,SE,0
2013Feb,112599,25.483,6488,1.468,18366,4.157,11223,370,21728,137453,3.151,2.54,0.084,4.917,31.108,107656,3.279,24.365,1.298,3.583,11120,2.844,2.517,18676,1.019,4.227,7132,1.614,4.549,2.491,9727,2.201,1.054,1.138,SE,0
2013Jan,108004,24.444,5650,1.279,20468,4.632,11223,245,21815,134122,3.262,2.54,0.055,4.937,30.355,102446,3.354,23.186,1.446,3.584,10856,2.883,2.457,20820,1.065,4.712,6367,1.441,3.329,2.159,24986,5.655,1.146,1.172,SE,0
2012Dec,95440,22.193,5788,1.346,14276,3.32,7223,257,15938,115504,3.433,1.68,0.06,3.706,26.859,91115,3.577,21.188,1.474,3.629,9725,2.823,2.261,14665,1.064,3.41,7624,1.773,3.333,2.141,12405,2.885,1.196,1.278,SE,0
2012Nov,93025,21.632,7265,1.689,10433,2.426,7223,223,9477,110723,3.445,1.68,0.052,2.204,25.747,89895,3.589,20.904,1.474,3.635,10153,2.894,2.361,10675,1.028,2.482,4059,0.944,3.639,2.246,3680,0.856,1.199,1.3,SE,0
2012Oct,92352,21.475,7299,1.697,11451,2.663,7223,225,10467,111102,3.386,1.68,0.052,2.434,25.835,89427,3.552,20.795,1.301,3.661,10609,2.977,2.467,11066,1.1,2.573,11747,2.732,3.638,2.278,10510,2.444,1.228,1.326,SE,0
2012Sep,88949,20.684,15686,3.648,7704,1.791,7250,249,6593,112339,3.501,1.686,0.058,1.533,26.123,94270,3.672,21.921,1.336,3.809,11204,3.034,2.605,6865,1.124,1.596,11861,2.758,1.025,1.371,2748,0.639,1.261,1.406,SE,0
2012Aug,97555,22.685,13332,3.1,10565,2.457,6750,288,7043,121452,3.646,1.57,0.067,1.638,28.242,100406,3.809,23.348,3.546,3.793,11556,3.087,2.687,9490,1.138,2.207,6235,1.45,1.015,1.373,4129,0.96,1.286,1.392,SE,0
2012Jul,99548,23.149,12303,2.861,11707,2.722,6750,291,7240,123559,3.655,1.57,0.068,1.683,28.732,99761,3.867,23.198,4.054,3.951,12924,3.164,3.005,10874,1.316,2.529,1477,0.343,1.244,1.432,16556,3.85,1.319,1.416,SE,0
2012Jun,87568,20.363,11999,2.79,8913,2.073,6750,511,7043,108480,3.677,1.57,0.119,1.638,25.226,89354,3.878,20.778,4.296,3.966,11124,3.125,2.587,8002,1.279,1.861,4842,1.126,0.946,1.364,7528,1.751,1.334,1.42,SE,0
2012May,85156,19.802,11800,2.744,8838,2.055,6761,572,7439,105794,3.704,1.572,0.133,1.73,24.601,87059,3.896,20.245,4.402,3.987,10578,3.155,2.46,8156,1.44,1.897,8244,1.917,0.92,1.382,7495,1.743,1.486,1.404,SE,0
2012Apr,86708,20.163,10640,2.474,9193,2.138,6761,558,8156,106542,3.774,1.572,0.13,1.897,24.775,87614,3.9,20.374,4.463,3.667,10497,3.184,2.441,8431,1.44,1.961,10104,2.349,1.099,1.409,5148,1.197,1.531,1.494,SE,0
2012Mar,91225,21.213,10735,2.496,9537,2.218,6761,551,6460,111498,3.835,1.572,0.128,1.502,25.927,91121,3.973,21.189,4.689,3.819,11944,3.282,2.778,8432,1.456,1.961,8113,1.886,1.941,1.683,4075,0.948,1.569,1.492,SE,0
2012Feb,90287,20.995,15034,3.496,10214,2.375,6723,442,7992,115535,3.72,1.563,0.103,1.858,26.866,91723,3.992,21.329,4.69,3.85,14567,2.421,3.387,9246,1.484,2.15,8643,2.01,1.925,1.616,6260,1.456,1.613,1.341,SE,0
2012Jan,89009,20.698,14780,3.437,14130,3.286,5223,447,10782,117919,3.652,1.214,0.104,2.507,27.421,90673,3.965,21.085,4.299,3.774,14174,2.426,3.296,13071,1.462,3.039,5009,1.165,3.646,2.302,17447,4.057,-,-,SE,0
2011Dec,78925,19.117,15254,3.695,11301,2.737,5773,447,10632,105480,3.764,1.398,0.108,2.575,25.55,82300,4.06,19.935,4.29,3.927,12972,2.115,3.142,10209,1.392,2.473,6576,1.593,3.709,2.398,9628,2.332,-,-,SE,0
2011Nov,81621,19.77,12836,3.109,7971,1.931,5773,461,7601,102428,3.727,1.398,0.112,1.841,24.81,83505,4.009,20.227,4.296,3.867,10380,2.252,2.514,8543,1.349,2.069,3213,0.778,3.702,2.345,10352,2.507,-,-,SE,0
2011Oct,76037,18.418,13386,3.242,5865,1.421,5773,456,7451,95289,3.76,1.398,0.11,1.805,23.081,78299,4.071,18.966,4.872,4.055,10569,2.049,2.56,6420,1.641,1.555,1019,0.247,3.668,2.304,3369,0.816,-,-,SE,0
2011Sep,82182,19.906,5438,1.317,5319,1.288,5773,451,7583,92939,3.767,1.398,0.109,1.837,22.512,76797,4.055,18.602,4.819,4.054,10353,2.042,2.508,5789,1.856,1.402,6982,1.691,3.648,2.324,3175,0.769,-,-,SE,0
2011Aug,81089,19.642,8533,2.067,6098,1.477,7801,457,7419,95720,3.8,1.889,0.111,1.797,23.185,78709,4.099,19.065,3.182,4.038,10435,2.002,2.528,6576,1.921,1.593,1696,0.411,4.281,2.337,305,0.074,-,-,SE,0
2011Jul,81509,19.743,8501,2.059,7101,1.72,7801,457,7338,97111,3.705,1.889,0.111,1.777,23.522,79146,4.003,19.171,2.253,4.038,10384,1.99,2.515,7581,1.924,1.836,1292,0.313,4.289,2.377,2631,0.637,-,-,SE,0
2011Jun,80600,19.523,8192,1.984,6978,1.69,7291,447,7151,95771,3.697,1.766,0.108,1.732,23.198,78122,4.003,18.923,2.244,4.039,10196,1.973,2.47,7452,1.963,1.805,8922,2.161,4.289,2.404,4119,0.998,-,-,SE,0
2011May,82941,20.09,9736,2.358,7897,1.913,7306,502,7267,100574,3.751,1.77,0.122,1.76,24.361,81823,4.058,19.819,1.861,3.808,10365,1.944,2.511,8386,1.882,2.031,1450,0.351,4.691,2.589,2507,0.607,-,-,SE,0
2011Apr,81866,19.83,9710,2.352,7941,1.923,7278,542,7189,99517,3.671,1.763,0.131,1.741,24.105,80884,4.016,19.592,1.883,3.818,10207,1.901,2.472,8426,1.587,2.041,5071,1.228,4.531,2.391,1549,0.375,-,-,SE,0
2011Mar,86472,20.945,6574,1.592,9994,2.421,7348,559,8738,103040,3.613,1.78,0.135,2.117,24.958,83408,3.944,20.203,1.92,3.699,10162,1.883,2.461,9470,1.55,2.294,10973,2.658,4.531,2.578,6735,1.631,-,-,SE,0
2011Feb,88209,21.366,10620,2.572,8450,2.047,7698,491,7082,107278,3.679,1.865,0.119,1.715,25.985,89182,3.974,21.602,1.732,3.699,10333,1.86,2.503,7763,1.493,1.88,6654,1.612,3.634,1.634,5444,1.319,-,-,SE,0
2011Jan,84191,20.393,11817,2.862,12480,3.023,7923,444,10247,108489,3.834,1.919,0.107,2.482,26.278,86718,4.185,21.005,3.376,3.962,10034,1.857,2.43,11737,1.021,2.843,6696,1.622,2.804,1.394,14147,3.427,-,-,SE,0
2010Dec,74840,19.974,11784,3.145,14413,3.847,7733,689,8850,101038,3.649,2.064,0.184,2.362,26.965,77634,4.111,20.719,3.441,3.939,9783,1.878,2.611,13621,0.944,3.635,2538,0.677,-,-,9025,2.409,-,-,SE,0
2010Nov,72556,19.364,12380,3.304,9614,2.566,7683,442,7197,94550,3.759,2.05,0.118,1.921,25.234,76043,4.198,20.295,3.419,3.938,9722,1.858,2.595,8786,0.798,2.345,3611,0.964,-,-,9040,2.413,-,-,SE,0
2010Oct,68863,18.378,12929,3.45,7329,1.956,7683,422,6722,89121,3.893,2.05,0.113,1.794,23.785,72197,4.262,19.268,3.491,4.013,10330,1.982,2.757,6594,0.547,1.76,5082,1.356,-,-,3795,1.013,-,-,SE,0
2010Sep,69882,18.65,13135,3.505,7390,1.972,7663,422,6856,90408,3.926,2.045,0.113,1.83,24.128,73370,4.256,19.581,3.454,4.028,10398,1.979,2.775,6640,0.478,1.772,2365,0.631,-,-,5034,1.343,-,-,SE,0
2010Aug,70717,18.873,10369,2.767,6653,1.776,7663,442,7623,87739,3.826,2.045,0.118,2.035,23.416,71744,4.193,19.147,3.099,4.076,10170,1.963,2.714,5825,0.398,1.554,1065,0.284,-,-,1251,0.334,-,-,SE,0
2010Jul,70305,18.763,10171,2.714,7077,1.889,7663,442,7375,87553,3.829,2.045,0.118,1.968,23.366,71154,4.201,18.99,3.965,4.089,10118,1.945,2.7,6281,0.398,1.676,2496,0.666,-,-,2149,0.574,-,-,SE,0
2010Jun,69738,18.612,10442,2.787,7720,2.06,7663,448,7680,87900,3.844,2.045,0.12,2.05,23.459,71035,4.162,18.958,3.916,4.098,10022,1.94,2.675,6842,0.478,1.826,4577,1.222,-,-,2229,0.595,-,-,SE,0
2010May,70999,18.948,9926,2.649,9323,2.488,7663,432,9127,90248,-,2.045,0.115,2.436,24.086,71866,-,19.18,-,-,9931,-,2.65,8451,-,2.256,1525,0.407,-,-,2896,0.773,-,-,SE,0
2010Apr,69755,18.616,9555,2.55,9567,2.553,7663,422,8150,88877,-,2.045,0.113,2.175,23.72,70186,-,18.731,-,-,9890,-,2.639,8802,-,2.349,7931,2.117,-,-,4827,1.288,-,-,SE,0
2010Mar,68998,18.415,10927,2.916,12056,3.218,7604,413,11166,91981,-,2.029,0.11,2.98,24.548,69872,-,18.648,-,-,9748,-,2.602,12361,-,3.299,13392,3.574,-,-,2927,0.781,-,-,SE,0
2010Feb,80472,21.477,8439,2.252,13535,3.612,10830,536,12437,102446,-,2.89,0.143,3.319,27.341,72781,-,19.424,-,-,16235,-,4.333,13430,-,3.584,6710,1.791,-,-,9751,2.603,-,-,SE,0
2010Jan,80141,21.388,6131,1.636,13132,3.505,10983,543,14813,99404,-,2.931,0.145,3.953,26.529,70997,-,18.948,-,-,15438,-,4.12,12969,-,3.461,3183,0.85,-,-,8447,2.254,-,-,SE,0
2009Dec,80224,25.497,5784,1.838,8133,2.585,10757,539,10439,94140,-,3.419,0.171,3.318,29.92,70749,-,22.486,-,-,15402,-,4.895,7989,-,2.539,10020,3.185,-,-,5105,1.623,-,-,SE,0
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SE,0
