Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.DE.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.DE.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.DE.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T,,
2015Dec,1310711,43.312,248530,8.213,70272,2.322,1186126,23985,42179,1629512,1.937,39.195,0.793,1.394,53.847,1344010,2.175,44.413,2.008,2.668,219169,0.716,7.242,66333,0.078,2.192,30754,1.016,1.379,1.001,9728,0.321,0.076,0.134,DE,1
2015Nov,1320821,43.646,252712,8.351,77005,2.545,1185184,27153,43894,1650538,1.952,39.164,0.897,1.45,54.542,1359076,2.203,44.911,2.034,2.662,218608,0.713,7.224,72854,0.084,2.407,20126,0.665,1.791,1.311,36478,1.205,0.076,0.14,DE,1
2015Oct,1306634,43.178,251464,8.31,75848,2.506,1178742,24982,42690,1633946,1.956,38.951,0.826,1.411,53.994,1342697,2.208,44.369,2.054,2.68,218326,0.706,7.215,72923,0.031,2.41,48423,1.6,1.682,1.267,48606,1.606,0.087,0.159,DE,1
2015Sep,1302494,43.041,255721,8.45,75472,2.494,1192331,24441,38381,1633687,1.987,39.401,0.808,1.268,53.985,1343093,2.24,44.382,2.087,2.713,217836,0.715,7.198,72758,0.005,2.404,38366,1.268,1.838,1.37,34252,1.132,0.09,0.166,DE,1
2015Aug,1301346,43.003,256873,8.488,77079,2.547,1183398,24418,39691,1635297,1.986,39.105,0.807,1.312,54.038,1344729,2.253,44.437,2.114,2.692,217020,0.704,7.171,73548,0.003,2.43,22561,0.746,1.996,1.503,31878,1.053,0.088,0.179,DE,1
2015Jul,1290434,42.642,256232,8.467,79314,2.621,1175975,25279,41369,1625980,1.983,38.86,0.835,1.367,53.73,1331863,2.252,44.011,2.092,2.714,218538,0.711,7.222,75579,-0.016,2.498,46483,1.536,1.895,1.469,43119,1.425,0.085,0.19,DE,1
2015Jun,1294384,42.773,255463,8.442,77498,2.561,1190763,25522,37482,1627345,2.004,39.349,0.843,1.239,53.776,1334541,2.28,44.1,2.096,2.749,218850,0.713,7.232,73954,-0.008,2.444,40847,1.35,1.766,1.361,28016,0.926,0.117,0.208,DE,1
2015May,1301714,43.015,258047,8.527,80397,2.657,1208735,24978,37879,1640158,2.034,39.943,0.825,1.252,54.199,1341194,2.321,44.32,2.008,2.765,222239,0.705,7.344,76726,0.006,2.535,25944,0.857,2.127,1.653,34927,1.154,0.126,0.219,DE,1
2015Apr,1288408,42.575,256905,8.489,82714,2.733,1206881,23388,35350,1628028,2.031,39.881,0.773,1.168,53.798,1325399,2.319,43.798,1.905,2.782,222596,0.705,7.356,80032,0.029,2.645,41857,1.383,2.009,1.595,36851,1.218,0.134,0.284,DE,1
2015Mar,1307359,43.202,242527,8.014,83147,2.748,1221029,22563,36302,1633033,2.057,40.349,0.746,1.2,53.964,1327397,2.35,43.864,1.877,2.82,225391,0.709,7.448,80245,0.079,2.652,43875,1.45,2.053,1.598,39323,1.299,0.156,0.328,DE,1
2015Feb,1312354,43.367,246336,8.14,78108,2.581,1235968,23032,32454,1636797,2.09,40.843,0.761,1.072,54.088,1334213,2.374,44.089,1.856,2.805,226119,0.727,7.472,76465,0.078,2.527,39167,1.294,2.172,1.707,36244,1.198,0.172,0.369,DE,1
2015Jan,1311645,43.343,245386,8.109,82582,2.729,1245379,23461,32156,1639612,2.099,41.154,0.775,1.063,54.181,1330299,2.386,43.96,1.854,2.859,229749,0.74,7.592,79565,0.21,2.629,56068,1.853,2.031,1.611,57696,1.907,0.2,0.399,DE,1
2014Dec,1314825,44.914,248735,8.497,74328,2.539,1258151,19280,31445,1637888,2.142,42.978,0.659,1.074,55.95,1338211,2.435,45.713,1.883,2.926,226376,0.762,7.733,73302,0.234,2.504,30752,1.05,1.844,1.414,13134,0.449,0.209,0.5,DE,1
2014Nov,1330724,45.457,248500,8.489,75965,2.595,1278128,19245,29911,1655190,2.168,43.66,0.657,1.022,56.541,1354014,2.466,46.253,1.95,2.927,226131,0.772,7.725,75045,0.214,2.564,38255,1.307,2.108,1.619,31776,1.085,0.209,0.502,DE,1
2014Oct,1317317,44.999,263598,9.004,80706,2.757,1288962,17385,32871,1661620,2.184,44.03,0.594,1.123,56.76,1352383,2.479,46.197,2.058,2.948,228483,0.782,7.805,80755,0.16,2.759,43585,1.489,2.016,1.593,48265,1.649,0.166,0.502,DE,1
2014Sep,1316250,44.963,261676,8.939,78849,2.693,1292654,17376,32571,1656776,2.206,44.157,0.594,1.113,56.595,1348359,2.509,46.059,2.059,2.986,230610,0.788,7.878,77807,0.145,2.658,35249,1.204,1.987,1.539,34370,1.174,0.147,0.536,DE,1
2014Aug,1317406,45.002,258790,8.84,81262,2.776,1282637,16277,31274,1657458,2.233,43.814,0.556,1.068,56.618,1345796,2.54,45.972,2.145,3.016,231497,0.805,7.908,80164,0.214,2.738,21839,0.746,2.264,1.749,34506,1.179,0.147,0.552,DE,1
2014Jul,1305218,44.586,256903,8.776,82534,2.819,1272438,16284,31041,1644655,2.23,43.466,0.556,1.06,56.181,1330884,2.533,45.463,2.149,3.032,232089,0.817,7.928,81682,0.217,2.79,52598,1.797,2.158,1.688,47898,1.636,0.142,0.561,DE,1
2014Jun,1300191,44.414,269550,9.208,79488,2.715,1285454,15185,29146,1649230,2.257,43.911,0.519,0.996,56.337,1340122,2.555,45.778,2.15,3.063,227830,0.831,7.783,81279,0.168,2.776,32712,1.117,1.921,1.44,36430,1.244,0.085,0.579,DE,1
2014May,1299679,44.397,264216,9.026,81032,2.768,1271361,16394,28105,1644927,2.309,43.429,0.56,0.96,56.19,1337367,2.611,45.684,2.287,3.11,224503,0.842,7.669,83056,0.154,2.837,26832,0.917,2.254,1.674,42143,1.44,0.075,0.578,DE,1
2014Apr,1279081,43.693,264760,9.044,80666,2.756,1255878,16422,27322,1624507,2.31,42.9,0.561,0.933,55.493,1319859,2.61,45.086,2.3,3.141,221933,0.845,7.581,82716,0.161,2.826,51395,1.756,2.208,1.67,40080,1.369,0.063,0.541,DE,1
2014Mar,1277981,43.655,272688,9.315,84545,2.888,1270812,15645,29360,1635215,2.333,43.41,0.534,1.003,55.858,1325939,2.636,45.294,2.325,3.149,222642,0.855,7.605,86633,0.14,2.959,35625,1.217,2.214,1.61,65704,2.244,0.053,0.539,DE,1
2014Feb,1258732,42.998,267657,9.143,78368,2.677,1252395,15767,29343,1604757,2.365,42.781,0.539,1.002,54.818,1304668,2.68,44.567,2.379,3.194,219560,0.831,7.5,80529,0.122,2.751,30267,1.034,2.608,1.925,13180,0.45,0.041,0.511,DE,1
2014Jan,1280916,43.756,253579,8.662,87349,2.984,1270822,16427,27515,1621844,2.332,43.411,0.561,0.94,55.402,1312056,2.651,44.819,2.368,3.183,220160,0.822,7.521,89629,0.11,3.062,65248,2.229,2.419,1.821,48412,1.654,0.039,0.501,DE,1
2013Dec,1291340,45.933,259477,9.23,87765,3.122,1294463,15722,27363,1638582,2.359,46.044,0.559,0.973,58.285,1327832,2.678,47.231,2.399,3.203,220664,0.833,7.849,90086,0.098,3.204,29171,1.038,2.236,1.6,20116,0.716,0.037,0.487,DE,1
2013Nov,1310551,46.616,245974,8.749,90919,3.234,1309125,15834,28084,1647444,2.389,46.566,0.563,0.999,58.6,1333438,2.731,47.431,2.49,3.228,220683,0.816,7.85,93323,0.092,3.32,24302,0.864,2.641,1.904,43075,1.532,0.035,0.48,DE,1
2013Oct,1294134,46.032,240173,8.543,93622,3.33,1296206,15421,27509,1627930,2.394,46.106,0.549,0.978,57.906,1312739,2.731,46.694,2.429,3.253,219150,0.821,7.795,96041,0.09,3.416,41337,1.47,2.521,1.861,40106,1.427,0.029,0.468,DE,1
2013Sep,1294250,46.037,238068,8.468,96463,3.431,1303683,17115,27712,1628780,2.405,46.372,0.609,0.986,57.936,1310417,2.755,46.612,2.425,3.27,219426,0.802,7.805,98938,0.079,3.519,46930,1.669,2.38,1.75,44549,1.585,0.023,0.45,DE,1
2013Aug,1285345,45.72,246582,8.771,99071,3.524,1315596,16738,27735,1630998,2.425,46.796,0.595,0.987,58.015,1310869,2.798,46.628,2.553,3.294,219496,0.696,7.808,100633,0.069,3.58,25688,0.914,2.531,1.889,39013,1.388,0.017,0.502,DE,1
2013Jul,1270990,45.209,243238,8.652,102817,3.657,1306815,17188,26185,1617045,2.437,46.484,0.611,0.931,57.518,1295057,2.794,46.065,2.576,3.31,218247,0.815,7.763,103742,0.063,3.69,49719,1.768,2.357,1.815,36293,1.291,0.009,0.499,DE,1
2013Jun,1285434,45.723,235392,8.373,109393,3.891,1312274,19769,27057,1630219,2.456,46.678,0.703,0.962,57.987,1300832,2.822,46.271,2.581,3.339,218949,0.806,7.788,110438,0.061,3.928,46545,1.656,2.201,1.677,35243,1.254,0.005,0.51,DE,1
2013May,1287575,45.799,243611,8.665,110087,3.916,1319870,20526,26342,1641273,2.486,46.948,0.73,0.937,58.38,1306819,2.864,46.484,2.5,3.4,223299,0.792,7.943,111155,0.049,3.954,28198,1.003,2.521,1.898,43361,1.542,0.012,0.528,DE,1
2013Apr,1275310,45.363,241269,8.582,108911,3.874,1302113,21048,24818,1625489,2.503,46.316,0.749,0.883,57.819,1291365,2.879,45.934,2.635,3.423,224197,0.771,7.975,109928,0.052,3.91,61755,2.197,2.416,1.854,44783,1.593,0.016,0.547,DE,1
2013Mar,1279898,45.526,248534,8.84,113749,4.046,1318418,21821,24168,1642182,2.522,46.896,0.776,0.86,58.413,1291681,2.909,45.945,2.614,3.455,236289,0.768,8.405,114212,0.05,4.063,54541,1.94,2.214,1.679,47293,1.682,0.023,0.584,DE,1
2013Feb,1278656,45.482,258189,9.184,107950,3.84,1325683,20647,21156,1644795,2.575,47.155,0.734,0.753,58.506,1294518,2.952,46.046,2.734,3.474,242462,0.969,8.624,107815,0.05,3.835,61516,2.188,2.404,1.835,44301,1.576,0.071,0.641,DE,1
2013Jan,1268410,45.117,267169,9.503,110922,3.946,1326604,20700,22096,1646501,2.549,47.187,0.736,0.786,58.566,1275304,2.97,45.363,2.819,3.508,262120,0.889,9.324,109077,0.051,3.88,59534,2.118,2.319,1.778,40843,1.453,0.093,0.67,DE,1
2012Dec,1301116,47.394,248479,9.051,115596,4.211,1345230,21961,18658,1665192,2.573,49.001,0.8,0.68,60.656,1282590,3.007,46.719,2.799,3.559,269194,0.904,9.806,113408,0.045,4.131,32679,1.19,2.126,1.618,30850,1.124,0.177,0.717,DE,1
2012Nov,1301819,47.42,248776,9.062,116426,4.241,1357832,22257,18518,1667021,2.613,49.46,0.811,0.675,60.723,1286503,3.063,46.862,2.81,3.617,268504,0.886,9.78,112014,0.055,4.08,27912,1.017,2.502,1.904,55852,2.034,0.239,0.733,DE,1
2012Oct,1278936,46.586,248351,9.046,111794,4.072,1347708,20648,18527,1639081,2.636,49.091,0.752,0.675,59.705,1268420,3.071,46.203,2.803,3.644,263186,0.937,9.587,107475,0.06,3.915,55390,2.018,2.458,1.857,30926,1.126,0.25,0.809,DE,1
2012Sep,1294692,47.16,253464,9.233,114673,4.177,1373937,19563,19384,1662830,2.641,50.047,0.713,0.706,60.57,1278063,3.085,46.554,2.787,3.647,273779,0.97,9.973,110987,0.069,4.043,62533,2.278,2.414,1.792,53935,1.965,0.384,0.872,DE,1
2012Aug,1291963,47.061,260749,9.498,118715,4.324,1384872,20240,26330,1671427,2.681,50.445,0.737,0.959,60.883,1271447,3.14,46.313,2.796,3.733,286415,1.025,10.433,113566,0.094,4.137,32438,1.182,2.64,1.93,52550,1.914,0.398,0.894,DE,1
2012Jul,1268971,46.223,263956,9.615,117696,4.287,1383359,18909,26391,1650623,2.698,50.39,0.689,0.961,60.125,1247680,3.15,45.448,2.764,3.771,290397,1.12,10.578,112546,0.121,4.1,66791,2.433,2.597,1.923,80586,2.935,0.44,0.978,DE,1
2012Jun,1241502,45.223,269094,9.802,126108,4.594,1387437,17094,24772,1636705,2.737,50.538,0.623,0.902,59.618,1235569,3.183,45.007,2.778,3.794,290505,1.213,10.582,110631,0.172,4.03,47350,1.725,2.327,1.736,59015,2.15,0.519,1.035,DE,1
2012May,1234153,44.955,271968,9.907,118917,4.332,1387763,15688,24819,1625038,2.802,50.55,0.571,0.904,59.193,1240526,3.253,45.187,2.996,3.851,282347,1.247,10.285,102165,0.252,3.721,44708,1.629,2.798,2.007,57434,2.092,0.63,1.125,DE,1
2012Apr,1210508,44.094,282276,10.282,119527,4.354,1380503,19401,22161,1612312,2.816,50.286,0.707,0.807,58.73,1229945,3.24,44.802,2.88,3.867,279509,1.289,10.181,102858,0.335,3.747,47242,1.721,2.822,2.019,57648,2.1,0.693,1.214,DE,1
2012Mar,1214412,44.236,267224,9.734,120271,4.381,1377935,20940,20276,1601906,2.867,50.192,0.763,0.739,58.351,1218601,3.284,44.388,2.874,3.919,279652,1.438,10.187,103653,0.425,3.776,57037,2.078,2.801,1.923,49765,1.813,0.77,1.322,DE,1
2012Feb,1214409,44.236,263963,9.615,130807,4.765,1390356,18240,18335,1609178,2.917,50.645,0.664,0.668,58.616,1225068,3.314,44.624,2.879,3.95,279387,1.545,10.177,104723,0.54,3.815,42707,1.556,3.05,2.031,60383,2.199,0.832,1.37,DE,1
2012Jan,1193298,43.467,267930,9.76,130275,4.745,1386185,12758,15582,1591502,2.926,50.493,0.465,0.568,57.972,1209492,3.315,44.057,2.843,3.982,283150,1.622,10.314,98861,0.636,3.601,76318,2.78,2.928,1.979,71841,2.617,-,-,DE,1
2011Dec,1187147,44.074,277105,10.288,131727,4.89,1407130,11422,14755,1595979,2.987,52.241,0.424,0.548,59.252,1217769,3.361,45.21,2.866,3.987,280164,1.7,10.401,98046,0.765,3.64,53634,1.991,2.708,1.729,37432,1.39,-,-,DE,1
2011Nov,1196288,44.413,274826,10.203,140963,5.233,1432219,10113,13248,1612077,3.019,53.172,0.375,0.492,59.849,1228067,3.407,45.593,2.953,3.972,284681,1.698,10.569,99329,0.863,3.688,30825,1.144,3.183,1.951,62180,2.308,-,-,DE,1
2011Oct,1161758,43.131,266445,9.892,152519,5.662,1402101,11241,12372,1580722,3.022,52.054,0.417,0.459,58.685,1209937,3.416,44.92,2.974,4.021,265937,1.686,9.873,104848,0.963,3.893,58150,2.159,3.107,1.967,48901,1.815,-,-,DE,1
2011Sep,1176134,43.665,269225,9.995,144611,5.369,1412116,10085,12491,1589970,3.035,52.426,0.374,0.464,59.029,1225382,3.414,45.493,2.95,4.015,255533,1.702,9.487,109055,1.009,4.049,43979,1.633,3.151,1.913,41064,1.525,-,-,DE,1
2011Aug,1186381,44.045,262288,9.738,144216,5.354,1423640,9263,11139,1592885,3.039,52.853,0.344,0.414,59.137,1229836,3.432,45.658,2.907,4.045,255682,1.588,9.492,107367,1.084,3.986,27805,1.032,3.263,1.963,52658,1.955,-,-,DE,1
2011Jul,1166451,43.305,253661,9.417,147920,5.492,1398452,7962,11147,1568032,3.035,51.918,0.296,0.414,58.214,1210148,3.432,44.927,2.998,4.082,252728,1.575,9.383,105156,1.087,3.904,60686,2.253,2.992,1.886,67389,2.502,-,-,DE,1
2011Jun,1162361,43.153,251261,9.328,147807,5.487,1403746,6850,12505,1561428,3.047,52.115,0.254,0.464,57.969,1205819,3.458,44.767,2.992,4.102,256398,1.552,9.519,99212,1.017,3.683,40736,1.512,2.652,1.651,28516,1.059,-,-,DE,1
2011May,1181795,43.875,246707,9.159,145146,5.389,1419882,6296,11883,1573648,3.09,52.714,0.234,0.441,58.423,1221000,3.494,45.33,3.004,4.096,255673,1.536,9.492,96976,0.911,3.6,45208,1.678,3.033,1.854,40033,1.486,-,-,DE,1
2011Apr,1189233,44.151,232805,8.643,156786,5.821,1432045,5231,13819,1578824,3.055,53.166,0.194,0.513,58.615,1215566,3.488,45.129,3.108,4.142,265122,1.342,9.843,98136,0.902,3.643,71976,2.672,3.196,2.088,69941,2.597,-,-,DE,1
2011Mar,1179039,43.773,230896,8.572,170924,6.346,1443733,3248,12345,1580859,3.034,53.599,0.121,0.458,58.69,1220542,3.497,45.313,3.13,4.16,260498,1.325,9.671,99819,0.82,3.706,78354,2.909,3.152,2,46194,1.715,-,-,DE,1
2011Feb,1182421,43.898,225765,8.382,204832,7.605,1481679,1614,11304,1613019,3.021,55.008,0.06,0.42,59.884,1221849,3.515,45.362,3.121,4.175,298174,1.253,11.07,92995,0.752,3.453,32760,1.216,3.291,2.074,35331,1.312,-,-,DE,1
2011Jan,1171726,43.501,220012,8.168,218709,8.12,1485376,1326,10761,1610447,3.05,55.145,0.049,0.4,59.789,1221216,3.511,45.338,3.164,4.187,295126,1.279,10.957,94105,0.712,3.494,73006,2.71,3.328,2.191,55740,2.069,-,-,DE,1
2010Dec,1181550,46.075,209140,8.156,237023,9.243,1504548,0,9646,1627713,3.045,58.671,0,0.376,63.473,1256265,3.506,48.989,3.008,4.211,280718,1.279,10.947,90730,0.69,3.538,47437,1.85,-,-,108118,4.216,-,-,DE,1
2010Nov,1185392,46.225,206132,8.038,175507,6.844,1445721,60,10022,1567032,3.139,56.377,0.002,0.391,61.107,1258624,3.51,49.081,2.803,4.171,218911,1.428,8.537,89497,0.673,3.49,15439,0.602,-,-,148861,5.805,-,-,DE,1
2010Oct,1107752,43.197,204162,7.961,121696,4.746,1313447,57,9539,1433609,3.229,51.218,0.002,0.372,55.904,1200880,3.589,46.829,3.055,4.194,141697,1.493,5.526,91032,0.634,3.55,30447,1.187,-,-,61271,2.389,-,-,DE,1
2010Sep,1107402,43.184,202642,7.902,92741,3.616,1281978,75,9970,1402785,3.296,49.991,0.003,0.389,54.702,1179119,3.672,45.98,3.376,4.21,131303,1.507,5.12,92363,0.612,3.602,32161,1.254,-,-,38508,1.502,-,-,DE,1
2010Aug,1102233,42.982,202160,7.883,92046,3.589,1277609,18,9583,1396439,3.331,49.821,0.001,0.374,54.455,1160913,3.692,45.27,3.282,4.231,128663,1.559,5.017,106863,0.627,4.167,16266,0.634,-,-,31307,1.221,-,-,DE,1
2010Jul,1089134,42.471,201322,7.851,90942,3.546,1264641,18,9031,1381398,3.338,49.315,0.001,0.352,53.868,1145711,3.724,44.678,3.481,4.258,129499,1.675,5.05,106188,0.516,4.141,35511,1.385,-,-,63093,2.46,-,-,DE,1
2010Jun,1077377,42.013,191996,7.487,84443,3.293,1236402,19,9423,1353816,3.363,48.214,0.001,0.367,52.793,1143976,3.739,44.61,3.474,4.284,104738,1.687,4.084,105102,0.513,4.098,54291,2.117,-,-,42140,1.643,-,-,DE,1
2010May,1072897,41.838,204636,7.98,88435,3.449,1237329,18,17582,1365967,-,48.25,0.001,0.686,53.267,1152846,-,44.956,-,-,103354,-,4.03,109767,-,4.28,19506,0.761,-,-,34830,1.358,-,-,DE,1
2010Apr,1051517,41.004,206446,8.05,92680,3.614,1224254,17,16311,1350643,-,47.74,0.001,0.636,52.669,1132843,-,44.176,-,-,104070,-,4.058,113730,-,4.435,36155,1.41,-,-,41782,1.629,-,-,DE,1
2010Mar,1044095,40.715,203973,7.954,96948,3.781,1218152,17,16069,1345016,-,47.502,0.001,0.627,52.45,1126096,-,43.913,-,-,100809,-,3.931,118111,-,4.606,33088,1.29,-,-,40416,1.576,-,-,DE,1
2010Feb,1032656,40.269,204966,7.993,100066,3.902,1211248,17,15951,1337688,-,47.233,0.001,0.622,52.164,1104036,-,43.052,-,-,93244,-,3.636,140408,-,5.475,16575,0.646,-,-,45127,1.76,-,-,DE,1
2010Jan,1007197,39.276,199152,7.766,102788,4.008,1182985,17,15450,1309137,-,46.131,0.001,0.602,51.05,1073916,-,41.878,-,-,92191,-,3.595,143030,-,5.578,39640,1.546,-,-,36091,1.407,-,-,DE,1
2009Dec,1014646,41.486,191352,7.824,106688,4.362,1187354,17,14945,1312686,-,48.548,0.001,0.611,53.673,1080830,-,44.193,-,-,85923,-,3.513,145933,-,5.967,26743,1.093,-,-,13559,0.554,-,-,DE,1
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DE,1
