Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=BASKET603668784
,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BE.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.BG.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CY.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.CZ.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DE.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.DK.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FI.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.IE.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.IT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.LT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.LU.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.LV.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.MT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.NL.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.PT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.SI.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.SK.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T
2014May,208339,3.668,62.537,58.038,2.495,2.004,371308,3.591,92.135,79.465,2.933,9.737,5286,4.492,12.325,10.813,0.203,1.309,7896,3.708,45.300,29.066,0.000,16.233,55860,3.418,35.394,32.221,0.190,2.983,1644927,2.309,56.190,45.684,7.669,2.837,104468,3.206,39.310,37.475,0.000,1.835,845295,4.013,81.896,71.473,2.729,7.694,2.735,2.913,3.569,4.448,3.597,5.232,2.631,3.634,4.366,2.825,4.019,4.337,3.639
2014Apr,202512,3.675,60.788,58.079,0.988,1.721,370039,3.584,91.820,78.990,2.954,9.877,5475,4.449,12.765,10.780,0.201,1.784,7796,3.683,44.726,28.493,0.000,16.233,55486,3.485,35.157,31.989,0.190,2.978,1624507,2.310,55.493,45.086,7.581,2.826,103432,3.099,38.920,37.070,0.000,1.850,812485,4.011,78.717,68.855,2.250,7.612,2.747,2.922,3.616,4.479,3.615,5.382,2.631,3.637,4.396,2.810,4.061,4.344,3.649
2014Mar,200672,3.691,60.235,57.923,0.993,1.319,367928,3.589,91.297,78.215,2.895,10.187,5471,4.296,12.756,10.734,0.238,1.784,7796,3.678,44.726,28.493,0.000,16.233,55060,3.496,34.888,31.465,0.190,3.232,1635215,2.333,55.858,45.294,7.605,2.959,101999,3.122,38.381,36.580,0.000,1.801,835961,4.039,80.992,70.712,2.259,8.020,2.753,2.949,3.540,4.487,3.670,5.409,2.631,3.815,4.404,2.822,4.065,4.534,3.671
2014Feb,200204,3.683,60.095,57.766,0.908,1.421,374685,3.596,92.973,80.233,3.280,9.460,5452,4.319,12.711,10.688,0.239,1.784,7796,3.683,44.726,28.493,0.000,16.233,56625,3.507,35.879,32.305,0.190,3.384,1604757,2.365,54.818,44.567,7.500,2.751,102393,3.262,38.529,36.391,0.000,2.138,819877,3.997,79.433,68.795,2.356,8.282,2.753,2.961,3.563,4.489,3.677,5.386,2.631,3.880,4.396,2.869,4.029,4.563,3.506
2014Jan,200012,3.689,60.037,57.408,0.906,1.724,367386,3.645,91.162,79.099,3.344,8.718,5466,4.484,12.744,11.196,0.240,1.309,7751,3.669,44.471,28.514,0.000,15.957,56577,3.453,35.849,32.121,0.190,3.538,1621844,2.332,55.402,44.819,7.521,3.062,101282,3.160,38.111,35.938,0.000,2.173,819022,4.053,79.350,68.404,2.356,8.590,2.785,2.985,3.573,4.500,3.673,5.455,2.631,3.872,4.420,2.846,4.033,4.538,3.524
2013Dec,198746,3.695,61.359,59.007,0.933,1.419,359264,3.688,91.444,79.842,3.334,8.268,4913,4.825,11.724,11.114,0.245,0.365,8002,3.693,44.468,28.954,0.000,15.514,56082,3.536,35.170,31.949,0.188,3.033,1638582,2.359,58.285,47.231,7.849,3.204,100093,3.182,38.685,36.635,0.000,2.050,792354,4.039,77.655,66.510,2.383,8.761,2.786,3.010,3.562,4.535,3.712,5.496,2.631,4.124,4.494,2.859,4.042,4.521,3.583
2013Nov,198272,3.700,61.212,58.803,0.930,1.479,365693,3.682,93.080,79.941,3.329,9.809,4919,4.829,11.739,11.128,0.246,0.365,8037,3.740,44.663,28.954,0.000,15.709,56299,3.506,35.306,31.702,0.188,3.416,1647444,2.389,58.600,47.431,7.850,3.320,100947,3.241,39.014,36.543,0.000,2.472,796418,4.033,78.054,66.994,2.394,8.665,2.780,2.977,3.630,4.506,3.681,5.520,2.631,4.248,4.528,2.823,3.997,4.546,3.578
2013Oct,195438,3.762,60.337,57.564,0.919,1.855,363206,3.678,92.447,79.101,3.329,10.017,4723,4.919,11.270,10.660,0.245,0.365,8060,3.724,44.788,28.954,0.000,15.834,59295,3.494,37.185,33.228,0.188,3.769,1627930,2.394,57.906,46.694,7.795,3.416,107185,3.297,41.425,39.181,0.000,2.244,788942,4.060,77.321,65.967,2.342,9.012,2.797,2.982,3.637,4.490,3.682,5.601,2.899,4.288,4.531,2.842,3.951,4.523,3.584
2013Sep,209687,3.777,64.736,62.669,0.901,1.166,360837,3.676,91.844,78.968,3.330,9.546,4735,4.927,11.300,10.688,0.248,0.365,8097,3.749,44.998,28.959,0.000,16.039,59464,3.483,37.290,33.284,0.188,3.818,1628780,2.405,57.936,46.612,7.805,3.519,105396,3.482,40.734,38.790,0.000,1.944,785954,4.236,77.028,65.751,2.339,8.938,2.822,3.000,3.636,4.489,3.690,5.552,2.899,4.282,4.472,2.857,3.971,4.453,3.586
2013Aug,201841,3.794,62.314,60.222,0.902,1.190,372346,3.630,94.774,81.826,3.330,9.618,4601,4.979,10.981,10.731,0.250,0.000,8112,3.749,45.081,28.959,0.000,16.122,60973,3.479,38.237,34.161,0.188,3.888,1630998,2.425,58.015,46.628,7.808,3.580,105329,3.359,40.708,38.625,0.000,2.084,776143,4.196,76.066,65.042,2.339,8.685,2.902,3.030,3.641,4.484,3.702,5.591,2.900,4.303,4.539,2.847,3.992,4.611,3.486
2013Jul,208074,3.792,64.238,61.489,1.510,1.240,364549,3.711,92.789,80.513,3.358,8.918,5029,4.961,12.001,10.778,0.249,0.974,8148,3.762,45.277,29.100,0.000,16.178,60975,3.447,38.238,33.915,0.188,4.134,1617045,2.437,57.518,46.065,7.763,3.690,104119,3.313,40.241,38.567,0.000,1.673,768583,4.208,75.326,65.535,0.823,8.968,2.887,3.044,3.638,4.483,3.772,5.570,2.905,4.289,4.614,2.875,4.104,4.589,3.486
2013Jun,206397,3.807,63.721,61.394,1.416,0.911,364251,3.704,92.713,79.505,3.360,9.848,5057,4.665,12.067,10.841,0.252,0.974,8007,4.594,44.498,39.715,0.000,4.782,60682,3.435,38.054,33.506,0.188,4.360,1630219,2.456,57.987,46.271,7.788,3.928,103195,3.326,39.883,38.419,0.000,1.464,781098,4.216,76.552,67.201,0.825,8.526,2.889,3.080,3.640,4.483,3.796,5.584,3.164,4.303,4.601,2.884,4.105,4.578,3.487
2013May,207807,3.862,64.156,60.180,2.946,1.030,364147,3.718,92.687,79.299,3.329,10.059,4992,4.701,11.912,10.684,0.254,0.974,9548,4.619,53.059,47.579,0.000,5.481,63039,3.441,39.532,34.938,0.188,4.406,1641273,2.486,58.380,46.484,7.943,3.954,105143,3.364,40.636,38.532,0.000,2.104,784856,4.172,76.920,67.222,0.824,8.875,3.080,3.111,3.637,4.495,3.782,5.633,3.164,4.306,4.536,3.008,4.148,4.596,3.492
2013Apr,212964,3.816,65.748,61.639,2.953,1.156,359487,3.676,91.500,77.019,2.698,11.783,4978,4.692,11.880,10.654,0.252,0.974,9908,4.489,55.060,47.579,0.000,7.481,90240,3.492,56.591,34.517,0.188,21.886,1625489,2.503,57.819,45.934,7.975,3.910,101909,3.321,39.386,37.562,0.000,1.824,751692,4.192,73.670,64.255,0.922,8.493,3.055,3.094,3.658,4.496,3.779,5.611,3.164,4.313,4.560,3.005,4.127,4.366,3.548
2013Mar,203863,3.849,62.938,59.790,1.455,1.693,359182,3.694,91.423,76.228,2.701,12.494,4914,4.760,11.727,10.497,0.256,0.974,9380,4.489,52.126,48.565,0.000,3.561,61014,3.452,38.262,33.164,0.188,4.910,1642182,2.522,58.413,45.945,8.405,4.063,100961,3.522,39.020,37.203,0.000,1.817,745587,4.174,73.072,63.506,0.963,8.603,3.125,3.106,3.744,4.478,3.824,5.653,3.164,4.330,4.623,3.116,4.106,4.446,3.715
2013Feb,202254,3.844,62.441,59.507,1.470,1.464,366166,3.718,93.200,79.802,2.663,10.736,4800,4.731,11.455,10.227,0.254,0.974,9622,4.489,53.471,48.560,0.000,4.911,61291,3.498,38.436,33.312,0.188,4.936,1644795,2.575,58.506,46.046,8.624,3.835,101718,3.619,39.312,36.384,0.000,2.928,734573,4.118,71.992,62.243,0.978,8.772,3.131,3.149,3.751,4.503,3.842,5.760,3.296,4.338,4.660,3.092,4.163,4.459,3.674
2013Jan,200876,3.853,62.016,59.107,1.519,1.390,360484,3.798,91.754,78.456,2.611,10.687,4403,5.057,10.507,10.257,0.250,0.000,9633,4.489,53.532,48.565,0.000,4.967,55530,3.469,34.823,28.947,0.188,5.689,1646501,2.549,58.566,45.363,9.324,3.880,103088,3.646,39.842,37.093,0.000,2.749,739585,4.113,72.484,62.817,1.038,8.629,3.153,3.149,3.763,4.937,3.849,5.712,3.296,4.392,4.620,3.009,4.161,4.487,3.695
2012Dec,194679,3.867,61.094,58.226,1.547,1.321,354993,3.847,91.925,79.027,2.607,10.291,4383,5.104,10.424,10.134,0.289,0.000,9641,4.489,49.590,44.347,0.000,5.244,58216,3.549,35.806,29.864,0.185,5.757,1665192,2.573,60.656,46.719,9.806,4.131,101821,3.593,39.996,37.566,0.000,2.430,725418,4.103,70.354,61.111,1.028,8.215,3.147,3.185,3.753,4.915,3.941,5.771,3.296,4.382,4.754,3.159,4.150,4.417,3.700
2012Nov,192969,3.883,60.558,57.816,1.548,1.194,364771,3.817,94.457,80.371,2.583,11.504,4396,5.499,10.456,10.164,0.291,0.000,9403,4.490,48.366,44.347,0.000,4.020,56264,3.579,34.605,29.134,0.185,5.287,1667021,2.613,60.723,46.862,9.780,4.080,104192,3.667,40.927,37.476,0.000,3.451,716003,4.140,69.441,60.205,1.054,8.181,3.146,3.153,3.331,4.917,3.938,5.753,3.296,4.849,4.772,3.109,4.287,4.411,3.591
2012Oct,194806,3.893,61.134,57.932,1.540,1.663,360113,3.976,93.251,79.181,2.583,11.488,4241,5.918,10.086,9.793,0.293,0.000,9340,4.488,48.043,44.089,0.000,3.954,59714,3.608,36.727,30.247,0.185,6.296,1639081,2.636,59.705,46.203,9.587,3.915,107896,3.508,42.382,39.200,0.000,3.182,701853,4.130,68.068,59.247,1.053,7.768,3.151,3.179,3.366,4.940,3.921,5.782,3.296,4.891,4.742,3.114,4.344,4.405,3.622
2012Sep,193524,3.875,60.732,57.778,1.536,1.418,354600,4.021,91.824,78.414,2.584,10.826,4248,5.921,10.103,9.809,0.294,0.000,9322,4.488,47.952,44.089,0.000,3.863,62219,3.608,38.268,31.999,0.185,6.085,1662830,2.641,60.570,46.554,9.973,4.043,105222,3.522,41.332,38.929,0.000,2.403,705185,4.163,68.392,59.106,1.564,7.722,3.175,3.223,3.396,4.899,3.957,5.945,3.296,4.910,4.695,3.131,4.400,4.246,3.713
2012Aug,194012,3.862,60.885,57.828,1.528,1.529,357693,4.027,92.625,78.686,2.586,11.353,4269,5.931,10.154,9.856,0.297,0.000,9282,4.488,47.747,44.089,0.000,3.657,62348,3.615,38.347,32.238,0.185,5.925,1671427,2.681,60.883,46.313,10.433,4.137,106822,3.583,41.960,38.548,0.000,3.413,686618,4.148,66.591,58.159,1.425,7.006,3.256,3.233,3.400,4.880,3.975,6.089,3.296,4.921,4.707,3.190,4.415,4.270,3.715
2012Jul,191590,3.894,60.125,57.156,1.514,1.455,357801,4.064,92.653,77.746,2.977,11.930,4365,5.974,10.380,10.091,0.289,0.000,9317,4.480,47.927,44.398,0.000,3.529,64447,3.641,39.639,33.396,0.185,6.058,1650623,2.698,60.125,45.448,10.578,4.100,105493,3.503,41.438,38.596,0.000,2.842,684720,4.140,66.407,57.856,1.425,7.126,3.342,3.223,3.390,4.881,3.976,6.117,3.296,4.934,4.809,3.184,4.418,4.237,3.678
2012Jun,195255,3.938,61.275,58.707,1.484,1.085,350191,4.052,90.682,77.738,2.941,10.003,3385,6.215,8.050,7.765,0.285,0.000,7447,4.471,38.305,34.684,0.000,3.621,59867,3.651,36.821,31.033,0.185,5.604,1636705,2.737,59.618,45.007,10.582,4.030,101289,3.603,39.787,37.983,0.000,1.803,689671,4.131,66.887,58.409,1.429,7.049,3.317,3.245,3.396,4.881,3.947,6.104,3.296,4.908,4.836,3.263,4.445,4.232,3.732
2012May,194462,4.018,61.026,58.371,1.459,1.196,354287,4.020,91.743,77.227,2.878,11.638,2919,6.452,6.941,6.768,0.173,0.000,7359,4.476,37.855,34.424,0.000,3.431,62263,3.662,38.295,32.194,0.185,5.917,1625038,2.802,59.193,45.187,10.285,3.721,102713,3.614,40.346,37.672,0.000,2.674,693150,4.154,67.224,58.465,1.426,7.333,3.361,3.274,3.383,4.855,3.922,6.146,3.296,4.882,4.798,3.361,4.457,4.240,3.620
2012Apr,194067,4.019,60.902,57.862,1.507,1.533,353846,4.049,91.629,76.831,2.847,11.951,2920,6.334,6.944,6.641,0.303,0.000,7137,4.469,36.713,34.552,0.000,2.160,56560,3.567,34.787,28.271,0.185,6.332,1612312,2.816,58.730,44.802,10.181,3.747,100938,3.632,39.649,37.384,0.000,2.265,692548,4.151,67.166,58.157,1.471,7.538,3.430,3.306,3.432,4.856,3.969,6.089,3.296,4.094,4.855,3.416,4.489,4.270,3.599
2012Mar,190858,4.038,59.895,57.545,1.517,0.833,350766,4.112,90.831,75.916,2.809,12.105,2884,6.391,6.858,6.556,0.302,0.000,7817,4.424,40.210,34.552,0.000,5.658,57468,3.529,35.346,29.057,0.185,6.104,1601906,2.867,58.351,44.388,10.187,3.776,99837,3.665,39.217,37.773,0.000,1.444,704552,4.137,68.330,58.771,1.480,8.078,3.436,3.329,3.567,4.855,3.994,6.154,3.296,4.087,4.962,3.448,4.508,4.254,3.687
2012Feb,187452,4.056,58.826,56.263,1.563,1.000,346964,4.146,89.846,75.133,2.734,11.979,2854,6.416,6.788,6.487,0.301,0.000,8077,4.392,41.548,34.552,0.000,6.996,57138,3.521,35.143,29.038,0.185,5.920,1609178,2.917,58.616,44.624,10.177,3.815,104539,3.678,41.064,38.143,0.000,2.921,696812,4.074,67.580,57.816,1.478,8.286,3.438,3.367,4.691,4.822,4.014,6.140,3.549,4.101,4.930,3.474,4.516,4.284,3.741
2012Jan,192374,4.036,60.371,57.539,1.563,1.268,339032,4.138,87.792,75.458,2.555,9.779,2852,6.433,6.782,6.477,0.305,0.000,8893,4.389,45.742,39.300,0.000,6.442,54227,3.600,33.353,27.440,0.185,5.728,1591502,2.926,57.972,44.057,10.314,3.601,103840,3.556,40.789,38.031,0.000,2.758,688791,4.049,66.802,56.580,1.478,8.743,3.476,3.378,4.701,4.757,4.014,6.106,3.549,3.635,4.992,3.520,4.510,4.322,3.789
2011Dec,188113,4.045,60.657,57.937,1.619,1.101,338214,4.087,89.958,76.834,2.575,10.549,3239,6.505,7.848,7.536,0.312,0.000,9199,4.455,46.451,39.023,0.000,7.428,50742,3.586,30.715,25.009,0.182,5.524,1595979,2.987,59.252,45.210,10.401,3.640,101322,3.601,40.876,38.720,0.000,2.155,654081,3.991,61.487,51.469,1.442,8.576,3.485,3.404,4.711,4.757,4.016,6.114,3.549,3.764,4.982,3.577,4.484,4.344,3.803
2011Nov,186941,4.043,60.279,57.434,1.678,1.167,334482,4.157,88.966,76.225,2.560,10.181,3233,6.413,7.833,7.465,0.324,0.043,9197,4.413,46.443,39.023,0.000,7.421,48590,3.586,29.412,24.237,0.182,4.994,1612077,3.019,59.849,45.593,10.569,3.688,104063,3.618,41.981,38.703,0.000,3.278,634249,4.004,59.623,50.104,1.460,8.059,3.488,3.401,4.710,4.757,3.943,6.104,3.549,3.711,4.985,3.487,4.480,4.378,3.620
2011Oct,186341,4.043,60.085,56.873,1.686,1.527,332781,4.171,88.513,75.456,2.542,10.515,2222,6.972,5.383,5.150,0.188,0.045,11642,4.413,58.788,39.023,0.000,19.765,42243,3.548,25.571,20.165,0.182,5.224,1580722,3.022,58.685,44.920,9.873,3.893,110694,3.578,44.656,41.639,0.000,3.017,625159,3.959,58.769,49.170,1.459,8.140,3.513,3.397,4.689,4.758,3.857,6.089,3.549,3.525,5.025,3.350,4.496,4.378,3.612
2011Sep,185790,4.026,59.907,56.408,1.602,1.897,323842,4.209,86.136,73.381,2.553,10.202,2243,6.979,5.435,5.199,0.191,0.045,11297,4.401,57.046,39.023,0.000,18.023,44156,3.496,26.728,21.555,0.182,4.992,1589970,3.035,59.029,45.493,9.487,4.049,106030,3.742,42.775,40.818,0.000,1.957,629329,3.946,59.161,49.187,1.457,8.516,3.512,3.406,4.684,4.722,3.783,6.127,3.549,3.400,5.056,3.356,4.493,4.397,3.609
2011Aug,186106,4.030,60.009,56.316,1.624,2.069,333324,4.221,88.657,77.110,2.499,9.049,2176,6.969,5.274,4.902,0.183,0.189,10934,4.379,55.212,39.023,0.000,16.189,44781,3.586,27.107,21.893,0.182,5.032,1592885,3.039,59.137,45.658,9.492,3.986,106192,3.476,42.840,39.840,0.002,2.998,610881,3.943,57.426,47.716,1.447,8.263,3.588,3.448,4.683,4.721,3.735,5.963,3.549,3.344,4.970,3.345,4.521,4.350,3.619
2011Jul,185567,4.013,59.835,55.800,1.677,2.358,324861,4.239,86.407,74.425,2.502,9.480,2183,6.892,5.290,4.917,0.184,0.189,11440,4.298,57.771,38.906,0.000,18.865,44608,3.581,27.002,21.873,0.182,4.948,1568032,3.035,58.214,44.927,9.383,3.904,104560,3.470,42.182,39.873,0.002,2.307,609908,3.932,57.335,47.334,1.447,8.554,3.623,3.440,4.669,4.722,3.697,5.979,3.549,3.316,4.990,3.293,4.471,4.350,3.628
2011Jun,183577,4.036,59.194,55.144,1.852,2.198,325086,4.238,86.466,77.224,2.481,6.761,2186,6.818,5.296,4.887,0.189,0.220,10950,4.249,55.297,35.298,0.000,19.999,44453,3.581,26.908,21.738,0.182,4.988,1561428,3.047,57.969,44.767,9.519,3.683,101535,3.576,40.961,39.564,0.002,1.395,622081,3.871,58.479,48.290,1.430,8.759,3.618,3.446,4.647,4.722,3.693,5.988,3.549,3.367,5.019,3.337,4.442,4.356,3.722
2011May,182665,4.000,58.900,54.549,1.822,2.528,334618,4.202,89.002,79.507,3.255,6.240,2192,6.776,5.312,4.902,0.190,0.220,10975,4.149,55.423,34.673,0.000,20.750,44317,3.598,26.826,21.616,0.182,5.029,1573648,3.090,58.423,45.330,9.492,3.600,102172,3.649,41.219,39.321,0.002,1.895,615041,3.903,57.817,47.530,1.417,8.871,3.609,3.448,4.642,4.722,3.683,5.966,3.549,3.036,4.932,3.446,4.390,4.350,3.670
2011Apr,186002,3.978,59.976,55.728,1.828,2.420,335929,4.068,89.350,80.387,3.243,5.721,3308,7.153,8.016,7.594,0.186,0.236,10547,4.117,53.262,34.758,0.000,18.504,44642,3.679,27.023,21.911,0.182,4.930,1578824,3.055,58.615,45.129,9.843,3.643,101665,3.588,41.014,39.488,0.002,1.524,605973,3.882,56.965,46.402,1.408,9.155,3.580,3.444,4.626,4.719,3.664,5.945,3.549,3.032,5.006,3.415,4.428,4.355,3.677
2011Mar,186928,4.004,60.274,55.355,1.817,3.102,335209,3.992,89.159,81.109,3.228,4.822,3362,7.157,8.146,7.718,0.192,0.236,10232,4.143,51.667,34.758,0.000,16.910,46001,3.462,27.845,22.797,0.182,4.867,1580859,3.034,58.690,45.313,9.671,3.706,98935,3.681,39.913,38.848,0.002,1.063,611755,3.845,57.509,46.844,1.384,9.280,3.535,3.448,4.657,4.719,3.606,5.954,3.549,2.980,5.028,3.435,4.431,4.360,3.656
2011Feb,183871,3.983,59.289,55.054,1.799,2.436,337940,3.969,89.885,82.826,3.221,3.838,3350,6.918,8.118,7.686,0.196,0.236,9795,4.181,49.461,33.899,0.000,15.562,46253,3.378,27.998,23.124,0.182,4.692,1613019,3.021,59.884,45.362,11.070,3.453,97716,3.805,39.421,37.658,0.002,1.761,607135,3.748,57.074,46.267,1.343,9.464,3.596,3.509,4.546,4.719,3.584,5.923,3.549,3.070,4.941,3.424,4.391,4.303,3.668
2011Jan,183009,3.991,59.011,54.528,1.818,2.665,324642,4.044,86.348,80.661,2.386,3.302,3393,6.932,8.223,7.808,0.197,0.217,10342,4.187,52.225,36.488,0.000,15.737,45802,3.403,27.725,23.042,0.182,4.501,1610447,3.050,59.789,45.338,10.957,3.494,95368,3.838,38.474,36.705,0.002,1.766,592393,3.722,55.688,45.343,1.343,9.002,3.602,3.498,4.518,4.719,3.575,5.938,3.549,3.138,4.976,3.347,4.245,4.300,3.645
2010Dec,183193,4.044,61.911,58.733,1.916,1.262,322690,3.985,88.861,83.507,2.481,2.873,3411,6.976,8.964,8.543,0.218,0.202,9865,4.228,50.824,37.552,0.000,13.272,44249,3.411,28.020,23.459,0.190,4.371,1627713,3.045,63.473,48.989,10.947,3.538,91596,3.945,37.668,36.451,0.002,1.215,590359,3.700,55.034,44.755,1.350,8.929,3.834,3.507,4.514,4.728,3.597,5.958,3.549,3.255,5.034,3.434,4.160,4.296,3.861
2010Nov,183955,4.094,62.169,58.804,1.844,1.520,309886,4.109,85.335,80.512,2.497,2.326,3430,7.004,9.012,8.610,0.247,0.155,10115,4.269,52.112,37.552,0.000,14.560,44446,3.411,28.145,23.542,0.190,4.413,1567032,3.139,61.107,49.081,8.537,3.490,92107,3.965,37.878,36.347,0.002,1.529,577290,3.660,53.816,43.277,1.317,9.221,3.826,3.465,4.507,4.728,3.543,5.972,3.549,3.369,5.001,3.486,4.088,4.265,3.688
