Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.FR.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.FR.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.FR.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.FR.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.FR.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T,,
2016Jan,1456317,65.185,152039,6.805,203040,9.088,1398428,4277,56389,1811396,2.712,62.594,0.191,2.524,81.078,1370941,3.201,61.364,2.95,3.403,193691,1.845,8.67,246763,-0.194,11.045,41966,1.878,2.599,0.484,64512,2.888,-0.277,-0.085,FR,1
2015Dec,1439088,65.46,145922,6.638,203339,9.249,1410096,3049,50778,1788350,2.732,64.141,0.139,2.31,81.347,1354696,3.209,61.621,3.054,3.425,195408,1.862,8.889,238245,-0.166,10.837,51675,2.351,2.532,0.53,42317,1.925,-0.248,-0.069,FR,1
2015Nov,1437401,65.383,147932,6.729,212363,9.66,1417111,7811,55393,1797696,2.723,64.46,0.355,2.52,81.772,1354899,3.206,61.63,3.101,3.427,187025,1.862,8.507,255772,-0.15,11.634,56414,2.566,2.531,0.621,68920,3.135,-0.229,-0.054,FR,1
2015Oct,1431179,65.1,150471,6.844,203540,9.258,1420604,7151,52452,1785190,2.725,64.619,0.325,2.386,81.203,1353172,3.22,61.552,3.09,3.453,186147,1.862,8.467,245871,-0.132,11.184,80839,3.677,2.81,0.63,82611,3.758,-0.207,-0.041,FR,1
2015Sep,1439976,65.5,151514,6.892,190827,8.68,1436020,6991,41403,1782317,2.72,65.32,0.318,1.883,81.072,1364374,3.203,62.061,3.025,3.455,189609,1.868,8.625,228335,-0.121,10.386,55324,2.516,2.681,0.52,68174,3.101,-0.188,-0.055,FR,1
2015Aug,1420777,64.627,152235,6.925,193330,8.794,1419277,8389,42193,1766342,2.758,64.559,0.382,1.919,80.346,1352550,3.237,61.523,2.672,3.477,184029,1.885,8.371,229763,-0.191,10.451,45844,2.085,2.999,0.72,49169,2.237,-0.175,-0.039,FR,1
2015Jul,1416068,64.413,159118,7.238,187815,8.543,1413222,8519,42278,1763001,2.739,64.283,0.388,1.923,80.194,1354440,3.219,61.609,2.688,3.459,182309,1.884,8.293,226251,-0.182,10.291,85176,3.874,2.753,0.755,71514,3.253,-0.16,-0.024,FR,1
2015Jun,1430103,65.051,154750,7.039,191810,8.725,1435990,7733,42154,1776663,2.766,65.319,0.352,1.917,80.815,1361962,3.228,61.952,2.691,3.474,198288,1.906,9.02,216414,-0.234,9.844,53302,2.425,2.854,0.642,63270,2.878,-0.141,-0.021,FR,1
2015May,1411005,64.182,156846,7.134,198844,9.045,1425981,9052,41980,1766695,2.768,64.864,0.412,1.91,80.362,1354345,3.217,61.605,2.599,3.504,190822,1.99,8.68,221528,-0.205,10.077,43116,1.961,2.845,0.776,60005,2.729,-0.126,0.044,FR,1
2015Apr,1390940,63.27,158260,7.199,200606,9.125,1414555,8837,41329,1749806,2.775,64.344,0.402,1.88,79.593,1339794,3.222,60.943,2.597,3.524,189391,2.003,8.615,220621,-0.072,10.035,77757,3.537,2.825,0.784,65556,2.982,-0.043,0.151,FR,1
2015Mar,1412436,64.247,138817,6.314,210755,9.587,1425912,8798,41847,1762008,2.808,64.86,0.4,1.903,80.148,1350156,3.238,61.414,2.596,3.545,190330,2.016,8.658,221522,-0.045,10.076,46564,2.118,2.669,0.673,74924,3.408,-0.002,0.194,FR,1
2015Feb,1390949,63.27,140832,6.406,201867,9.182,1398517,8137,36118,1733648,2.824,63.614,0.37,1.643,78.858,1337828,3.257,60.854,2.514,3.568,188780,2.003,8.587,207040,-0.005,9.418,60939,2.772,2.908,0.797,73993,3.366,0.023,0.228,FR,1
2015Jan,1395176,63.462,120864,5.498,204553,9.304,1388431,8168,35540,1720593,2.852,63.156,0.372,1.617,78.265,1327783,3.269,60.397,2.522,3.601,187738,2.033,8.54,205072,0.014,9.328,72920,3.317,2.945,0.802,73394,3.338,0.047,0.255,FR,1
2014Dec,1372237,63.832,138999,6.466,208301,9.689,1393266,5777,33441,1719537,2.862,64.81,0.269,1.556,79.987,1323964,3.283,61.586,2.448,3.63,186759,2.052,8.687,208815,0.036,9.713,53187,2.474,2.974,0.746,48152,2.24,0.07,0.288,FR,1
2014Nov,1369597,63.709,139597,6.494,213251,9.92,1395298,6854,33307,1722445,2.841,64.905,0.319,1.549,80.122,1321998,3.27,61.495,2.461,3.629,186589,2.051,8.68,213858,0.043,9.948,137645,6.403,2.937,0.842,73791,3.433,0.079,0.302,FR,1
2014Oct,1354277,62.997,124981,5.814,304064,14.144,1371417,101867,29629,1783322,2.835,63.794,4.739,1.378,82.954,1293644,3.285,60.176,2.436,3.644,184976,2.034,8.604,304702,0.047,14.174,82526,3.839,2.939,0.831,61537,2.863,0.087,0.345,FR,1
2014Sep,1365817,63.533,121172,5.637,317287,14.759,1391978,103465,31193,1804276,2.87,64.75,4.813,1.451,83.929,1302682,3.301,60.596,2.764,3.602,183983,2.006,8.558,317612,0.069,14.774,58455,2.719,2.632,0.67,78007,3.629,0.1,0.362,FR,1
2014Aug,1335378,62.117,137104,6.378,312243,14.524,1382803,100706,28312,1784725,2.903,64.323,4.685,1.317,83.02,1289526,3.359,59.984,2.95,3.753,182692,2.024,8.498,312507,0.099,14.537,40975,1.906,3.195,0.823,135875,6.32,0.113,0.361,FR,1
2014Jul,1337505,62.216,139369,6.483,212947,9.906,1381387,6797,28908,1689821,2.874,64.258,0.316,1.345,78.605,1293402,3.327,60.165,2.698,3.753,183260,2.034,8.525,213159,0.118,9.915,91123,4.239,3.127,0.869,69342,3.226,0.115,0.359,FR,1
2014Jun,1362310,63.37,126907,5.903,221885,10.321,1404196,6559,31154,1711102,2.91,65.319,0.305,1.449,79.595,1305871,3.347,60.745,2.692,3.792,188110,2.048,8.75,217122,0.155,10.1,51298,2.386,3.264,0.76,71930,3.346,0.119,0.369,FR,1
2014May,1341961,62.424,128378,5.972,220132,10.24,1387510,5966,31732,1690471,2.913,64.542,0.278,1.476,78.635,1288920,3.363,59.956,2.894,3.838,184981,2.069,8.605,216570,0.176,10.074,53780,2.502,3.329,0.973,65771,3.059,0.119,0.356,FR,1
2014Apr,1327014,61.728,131782,6.13,219684,10.219,1376284,8149,32170,1678480,2.922,64.02,0.379,1.496,78.077,1279100,3.372,59.5,2.901,3.86,179764,2.063,8.362,219617,0.179,10.216,83556,3.887,3.314,0.972,73855,3.435,0.113,0.342,FR,1
2014Mar,1335160,62.107,126027,5.862,225794,10.503,1387507,7735,33835,1686982,2.949,64.542,0.36,1.574,78.473,1282750,3.394,59.669,2.908,3.805,181969,2.07,8.465,222263,0.16,10.339,44386,2.065,3.161,0.826,72356,3.366,0.095,0.382,FR,1
2014Feb,1315929,61.213,130770,6.083,212291,9.875,1362609,8179,34351,1658990,2.961,63.384,0.38,1.598,77.171,1264977,3.426,58.843,2.961,3.865,181346,2.112,8.436,212667,0.146,9.893,48663,2.264,3.369,0.961,78414,3.648,0.085,0.355,FR,1
2014Jan,1300206,60.481,123826,5.76,205142,9.543,1334243,8521,37181,1629174,2.985,62.065,0.396,1.73,75.784,1245441,3.437,57.934,2.917,3.921,178196,2.079,8.289,205537,0.138,9.561,78385,3.646,3.384,0.97,74996,3.489,0.077,0.328,FR,1
2013Dec,1296250,61.225,125861,5.945,209051,9.874,1321229,7036,35405,1631163,3.01,62.405,0.332,1.672,77.044,1244849,3.463,58.797,2.997,3.959,176870,2.079,8.354,209443,0.129,9.893,38842,1.835,3.5,0.895,36161,1.708,0.058,0.326,FR,1
2013Nov,1293446,61.093,126919,5.995,213479,10.083,1320629,8537,36613,1633844,2.977,62.377,0.403,1.729,77.17,1243397,3.449,58.729,3.041,3.962,176943,2.083,8.357,213504,0.109,10.084,40743,1.924,3.54,0.999,59291,2.8,0.05,0.32,FR,1
2013Oct,1278479,60.386,128551,6.072,207866,9.818,1304298,8612,37773,1614896,2.982,61.605,0.407,1.784,76.275,1232407,3.46,58.21,3.044,3.978,174522,2.104,8.243,207967,0.103,9.823,71556,3.38,3.742,1.112,66254,3.129,0.045,0.288,FR,1
2013Sep,1286067,60.744,126848,5.991,206682,9.762,1308092,8921,38352,1619597,3,61.784,0.421,1.811,76.498,1238568,3.471,58.501,3.023,3.939,173847,2.085,8.211,207182,0.093,9.786,58429,2.76,3.609,0.965,58942,2.784,0.034,0.311,FR,1
2013Aug,1285722,60.728,125773,5.941,207589,9.805,1308817,8989,37204,1619084,3.03,61.819,0.425,1.757,76.473,1237456,3.505,58.448,3.01,3.996,172835,2.088,8.163,208793,0.074,9.862,43274,2.044,3.905,1.089,47975,2.266,0.024,0.35,FR,1
2013Jul,1285390,60.712,126977,5.997,202015,9.542,1307437,7296,36009,1614383,3.044,61.753,0.345,1.701,76.251,1238089,3.493,58.478,3.243,3.995,172518,2.112,8.148,203777,0.065,9.625,77878,3.678,3.606,1.063,59624,2.816,0.016,0.343,FR,1
2013Jun,1298297,61.322,132868,6.276,201471,9.516,1324019,7316,39085,1632637,3.08,62.537,0.346,1.846,77.113,1257309,3.517,59.386,3.239,4.046,172172,2.117,8.132,203155,0.051,9.596,46298,2.187,3.688,0.86,63277,2.989,0.014,0.359,FR,1
2013May,1279742,60.445,133517,6.306,202139,9.548,1304894,9292,39068,1615398,3.111,61.633,0.439,1.845,76.299,1239655,3.538,58.552,3.4,4.093,171404,2.129,8.096,204339,0.044,9.651,62546,2.954,3.964,1.109,74391,3.514,0.018,0.352,FR,1
2013Apr,1261467,59.582,134365,6.346,207473,9.799,1295120,8966,38418,1603304,3.094,61.172,0.424,1.815,75.728,1223386,3.562,57.784,3.404,4.113,170535,2.088,8.055,209382,0.048,9.89,75585,3.57,3.92,1.145,76483,3.612,0.032,0.316,FR,1
2013Mar,1255478,59.299,137633,6.501,209295,9.886,1295476,8968,38845,1602406,3.106,61.188,0.424,1.835,75.686,1222138,3.596,57.725,3.402,4.076,172022,2.09,8.125,208245,0.062,9.836,45929,2.169,3.93,1.035,75864,3.583,0.04,0.281,FR,1
2013Feb,1242930,58.707,137293,6.485,192131,9.075,1261980,8508,38895,1572354,3.149,59.606,0.402,1.837,74.266,1211377,3.625,57.216,3.353,4.103,167250,2.135,7.9,193726,0.048,9.15,61506,2.905,4.093,1.201,61780,2.918,0.048,0.292,FR,1
2013Jan,1240006,58.569,138407,6.537,193668,9.147,1261307,8661,39049,1572081,3.149,59.575,0.409,1.844,74.253,1209718,3.632,57.138,3.381,4.142,165967,2.13,7.839,196395,0.05,9.276,70651,3.337,4.12,1.199,77024,3.638,0.068,0.465,FR,1
2012Dec,1243210,59.518,128424,6.148,194074,9.291,1262953,8265,33193,1565708,3.185,60.463,0.396,1.589,74.957,1204099,3.66,57.645,3.401,4.177,169564,2.141,8.118,192044,0.088,9.194,42939,2.056,4.115,1.147,31504,1.508,0.094,0.481,FR,1
2012Nov,1241473,59.435,138247,6.618,197424,9.452,1269212,8466,35970,1577143,3.153,60.763,0.405,1.722,75.505,1211674,3.659,58.008,3.606,4.175,165913,2.108,7.943,199556,0.099,9.554,48590,2.326,3.932,1.159,48772,2.335,0.124,0.501,FR,1
2012Oct,1224184,58.607,141858,6.791,210920,10.098,1270274,7869,37894,1576961,3.179,60.813,0.377,1.814,75.496,1195380,3.693,57.228,3.775,4.189,166003,2.12,7.947,215579,0.105,10.321,73518,3.52,3.99,1.196,67402,3.227,0.174,0.537,FR,1
2012Sep,1228134,58.796,142454,6.82,212489,10.173,1283127,7693,39062,1583077,3.223,61.429,0.368,1.87,75.789,1204597,3.719,57.669,3.797,4.211,165316,2.145,7.914,213164,0.149,10.205,58741,2.812,3.832,1.093,54001,2.585,0.206,0.546,FR,1
2012Aug,1224506,58.622,141309,6.765,222003,10.628,1289743,8351,41009,1587818,3.233,61.746,0.4,1.963,76.016,1199742,3.761,57.437,3.864,4.244,169603,2.149,8.12,218472,0.182,10.459,49985,2.393,4.499,1.295,54212,2.595,0.251,0.536,FR,1
2012Jul,1218032,58.312,142603,6.827,222956,10.674,1286084,8396,42610,1583591,3.223,61.57,0.402,2.04,75.813,1195213,3.731,57.22,3.723,4.241,165730,2.164,7.934,222648,0.227,10.659,66847,3.2,4.119,1.36,72790,3.485,0.325,0.597,FR,1
2012Jun,1239960,59.362,127899,6.123,209789,10.043,1286446,8085,40219,1577648,3.245,61.588,0.387,1.925,75.529,1204186,3.751,57.65,3.727,4.253,164122,2.174,7.857,209340,0.27,10.022,44581,2.134,3.862,1.192,56207,2.691,0.407,0.657,FR,1
2012May,1220405,58.426,128480,6.151,217137,10.395,1281360,8343,39710,1566022,3.274,61.344,0.399,1.901,74.972,1186885,3.796,56.821,4.065,4.278,164377,2.153,7.869,214760,0.309,10.281,58119,2.782,3.626,1.336,85073,4.073,0.482,0.774,FR,1
2012Apr,1189001,56.923,133778,6.405,214344,10.262,1262850,9334,35375,1537124,3.306,60.458,0.447,1.694,73.589,1163127,3.815,55.684,4.035,4.291,158639,2.091,7.595,215357,0.395,10.31,69194,3.313,3.686,1.349,66048,3.162,0.576,0.875,FR,1
2012Mar,1195322,57.225,123301,5.903,221648,10.611,1273392,9411,36110,1540270,3.329,60.963,0.451,1.729,73.739,1161654,3.844,55.613,4.048,4.292,156428,2.128,7.489,222189,0.526,10.637,52086,2.494,3.387,1.217,65538,3.138,0.652,0.958,FR,1
2012Feb,1181636,56.57,123241,5.9,221942,10.625,1262132,8616,36496,1526818,3.367,60.424,0.412,1.747,73.095,1150595,3.867,55.084,4.228,4.287,154077,2.171,7.376,222146,0.572,10.635,57352,2.746,3.973,1.464,96123,4.602,0.731,1.035,FR,1
2012Jan,1137983,54.48,124827,5.976,225208,10.782,1229402,7837,37052,1488018,3.378,58.857,0.375,1.774,71.238,1112948,3.898,53.282,4.23,4.322,152065,2.158,7.28,223005,0.584,10.676,72516,3.472,3.973,1.444,77448,3.708,-,-,FR,1
2011Dec,1142197,55.49,118011,5.733,222879,10.828,1229957,7805,39230,1483087,3.404,59.754,0.379,1.906,72.052,1112687,3.912,54.057,4.208,4.32,151905,2.17,7.38,218494,0.722,10.615,53074,2.578,3.932,1.36,56749,2.757,-,-,FR,1
2011Nov,1142178,55.489,108835,5.287,228399,11.096,1225110,8410,39828,1479412,3.401,59.518,0.409,1.935,71.873,1104115,3.917,53.64,4.252,4.328,149138,2.16,7.245,226159,0.769,10.987,50805,2.468,3.789,1.406,72193,3.507,-,-,FR,1
2011Oct,1124636,54.637,107334,5.215,225653,10.963,1215766,7512,38152,1457624,3.397,59.065,0.365,1.854,70.814,1090388,3.917,52.973,3.979,4.329,145071,2.154,7.048,222165,0.782,10.793,66800,3.245,3.789,1.364,65484,3.181,-,-,FR,1
2011Sep,1127965,54.799,101252,4.919,229723,11.16,1222072,5856,38606,1458939,3.406,59.371,0.284,1.876,70.878,1089485,3.933,52.93,3.993,4.345,142675,2.162,6.931,226778,0.864,11.017,71022,3.45,3.595,1.225,70304,3.416,-,-,FR,1
2011Aug,1126342,54.72,101082,4.911,232232,11.282,1237041,4915,34163,1459657,3.448,60.098,0.239,1.66,70.913,1090544,3.959,52.981,4.037,4.381,142085,2.223,6.903,227028,0.966,11.029,41143,1.999,4.173,1.316,58620,2.848,-,-,FR,1
2011Jul,1122723,54.544,107531,5.224,211440,10.272,1220029,3924,34365,1441695,3.44,59.272,0.191,1.67,70.041,1093084,3.941,53.104,4.271,4.386,138502,2.244,6.729,210109,0.981,10.208,78791,3.828,4.157,1.327,62306,3.027,-,-,FR,1
2011Jun,1134660,55.124,108369,5.265,215151,10.453,1239791,4144,34894,1458180,3.446,60.232,0.201,1.695,70.842,1108724,3.961,53.864,4.284,4.4,139112,2.169,6.758,210344,0.913,10.219,36956,1.795,4.758,1.216,88205,4.285,-,-,FR,1
2011May,1104815,53.674,107707,5.233,193859,9.418,1198458,2431,34231,1406381,3.448,58.224,0.118,1.663,68.325,1081753,3.952,52.554,3.724,4.417,130707,2.158,6.35,193921,0.827,9.421,38797,1.885,4.261,1.402,59292,2.881,-,-,FR,1
2011Apr,1083944,52.66,105939,5.147,196003,9.522,1181636,2389,33928,1385886,3.444,57.406,0.116,1.648,67.329,1064179,3.962,51.7,3.724,4.43,124778,2.139,6.062,196929,0.779,9.567,56508,2.745,4.261,1.462,63317,3.076,-,-,FR,1
2011Mar,1080887,52.512,104062,5.056,194128,9.431,1173901,2406,36130,1379077,3.448,57.031,0.117,1.755,66.999,1062938,3.975,51.64,3.734,4.454,121051,2.17,5.881,195089,0.752,9.478,42291,2.055,3.732,1.253,70907,3.445,-,-,FR,1
2011Feb,1054728,51.241,105681,5.134,190053,9.233,1155405,1902,29402,1350462,3.509,56.132,0.092,1.428,65.608,1040808,4.038,50.565,3.971,4.428,118614,2.205,5.763,191040,0.667,9.281,41490,2.016,4.011,1.56,59778,2.904,-,-,FR,1
2011Jan,1031061,50.091,108188,5.256,192925,9.373,1140339,1655,29828,1332175,3.498,55.4,0.08,1.449,64.72,1023353,4.052,49.717,3.971,4.439,114904,2.238,5.582,193917,0.619,9.421,52842,2.567,4.052,1.677,70730,3.436,-,-,FR,1
2010Dec,1022141,51.228,107450,5.385,184695,9.257,1128096,1380,27175,1314286,3.507,56.538,0.069,1.362,65.869,1016373,4.06,50.939,3.937,4.454,112206,2.29,5.624,185708,0.634,9.307,43696,2.19,-,-,32243,1.616,-,-,FR,1
2010Nov,1015671,50.903,107631,5.394,202437,10.146,1142053,1069,28074,1325739,3.465,57.237,0.054,1.407,66.443,1009947,4.043,50.617,3.788,4.462,112313,2.265,5.629,203479,0.624,10.198,41334,2.072,-,-,62870,3.151,-,-,FR,1
2010Oct,988300,49.532,109173,5.472,206730,10.361,1122138,1247,27338,1304203,3.453,56.239,0.063,1.37,65.364,985919,4.077,49.412,3.783,4.483,110582,2.269,5.542,207702,0.559,10.41,57379,2.876,-,-,68347,3.425,-,-,FR,1
2010Sep,976418,48.936,111872,5.607,204944,10.271,1112825,1256,26274,1293235,3.497,55.773,0.063,1.317,64.814,978588,4.107,49.045,3.743,4.528,108704,2.28,5.448,205943,0.543,10.321,52108,2.612,-,-,33909,1.699,-,-,FR,1
2010Aug,989385,49.586,109268,5.476,212781,10.664,1130284,1085,27773,1311434,3.508,56.648,0.054,1.392,65.727,990542,4.13,49.644,3.781,4.449,107046,2.308,5.365,213845,0.555,10.717,47887,2.4,-,-,49373,2.475,-,-,FR,1
2010Jul,988209,49.527,109863,5.506,211875,10.619,1126557,1097,30362,1309947,3.49,56.461,0.055,1.522,65.652,990179,4.13,49.626,4.121,4.454,106859,2.328,5.356,212909,0.507,10.671,90532,4.537,-,-,69638,3.49,-,-,FR,1
2010Jun,1005137,50.376,103493,5.187,222211,11.137,1146420,1110,32001,1330841,3.62,57.456,0.056,1.604,66.699,1003634,4.162,50.3,4.095,4.463,108062,2.29,5.416,219146,0.534,10.983,37913,1.9,-,-,61127,3.064,-,-,FR,1
2010May,980369,49.134,103530,5.189,223729,11.213,1126862,1152,31002,1307627,-,56.476,0.058,1.554,65.536,979970,-,49.114,-,-,108102,-,5.418,219556,-,11.004,35388,1.774,-,-,84850,4.253,-,-,FR,1
2010Apr,946145,47.419,102949,5.16,209071,10.478,1086466,579,25766,1258165,-,54.452,0.029,1.291,63.057,949725,-,47.598,-,-,98349,-,4.929,210091,-,10.529,70702,3.543,-,-,70217,3.519,-,-,FR,1
2010Mar,955082,47.867,99616,4.993,203953,10.222,1094110,514,26335,1258650,-,54.835,0.026,1.32,63.081,957458,-,47.986,-,-,96236,-,4.823,204957,-,10.272,53977,2.705,-,-,63402,3.178,-,-,FR,1
2010Feb,930996,46.66,106451,5.335,211778,10.614,1081415,566,24361,1249224,-,54.198,0.028,1.221,62.609,942269,-,47.225,-,-,94184,-,4.72,212771,-,10.664,57099,2.862,-,-,74543,3.736,-,-,FR,1
2010Jan,913478,45.782,107375,5.381,210928,10.571,1060316,780,24336,1231781,-,53.141,0.039,1.22,61.734,928047,-,46.512,-,-,92058,-,4.614,211675,-,10.609,55699,2.792,-,-,60990,3.057,-,-,FR,1
2009Dec,917483,47.38,103763,5.358,205244,10.599,1055494,658,24123,1226489,-,54.507,0.034,1.246,63.338,931652,-,48.112,-,-,88936,-,4.593,205901,-,10.633,60255,3.112,-,-,50218,2.593,-,-,FR,1
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FR,1
