Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.ES.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.ES.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.ES.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.ES.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.ES.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T,,
2015Oct,727183,67.482,96293,8.936,83073,7.709,693027,278,2614,906549,3.595,64.313,0.026,0.243,84.127,788592,3.971,73.181,3.679,4.56,34771,2.159,3.227,83186,0.101,7.72,9973,0.925,3.604,2.121,3837,0.356,0.135,0.689,ES,1
2015Sep,755687,70.128,74958,6.956,79971,7.421,698756,270,4353,910616,3.573,64.844,0.025,0.404,84.505,789803,3.975,73.293,3.431,4.573,34771,2.412,3.227,86042,0.11,7.985,29657,2.752,3.601,2.045,34278,3.181,0.15,0.679,ES,1
2015Aug,728004,67.559,88664,8.228,81583,7.571,698909,274,2567,898251,3.637,64.859,0.025,0.238,83.357,782891,4.029,72.652,3.506,4.62,33637,2.312,3.121,81724,0.12,7.584,8026,0.745,3.497,2.15,18485,1.715,0.164,0.715,ES,1
2015Jul,719041,66.727,88693,8.231,80058,7.429,696787,286,2614,887792,3.653,64.662,0.027,0.243,82.387,773929,4.041,71.82,3.53,4.63,33637,2.275,3.121,80226,0.149,7.445,31528,2.926,3.508,2.195,22989,2.133,0.177,0.728,ES,1
2015Jun,727117,67.476,91003,8.445,78211,7.258,714700,282,2590,896330,3.692,66.324,0.026,0.24,83.179,784642,4.072,72.815,3.53,4.642,33310,2.324,3.091,78379,0.164,7.274,5211,0.484,3.521,2.077,24579,2.281,0.195,0.796,ES,1
2015May,711802,66.055,95108,8.826,70053,6.501,696439,278,2614,876963,3.703,64.629,0.026,0.243,81.382,772919,4.087,71.727,3.549,4.691,33760,2.296,3.133,70285,0.171,6.522,19296,1.791,3.653,2.303,20066,1.862,0.208,0.859,ES,1
2015Apr,703972,65.328,94767,8.794,77455,7.188,703298,275,2564,876194,3.751,65.266,0.026,0.238,81.311,763048,4.135,70.811,3.611,4.713,35454,2.402,3.29,77692,0.191,7.21,28439,2.639,3.316,2.259,17906,1.662,0.259,0.871,ES,1
2015Mar,715484,66.397,93874,8.711,77370,7.18,719475,275,2672,886727,3.767,66.767,0.026,0.248,82.288,773660,4.153,71.795,3.631,4.686,35454,2.578,3.29,77614,0.224,7.203,22163,2.057,3.418,2.216,29152,2.705,0.275,0.896,ES,1
2015Feb,694019,64.405,107201,9.948,78474,7.282,713708,274,2567,879694,3.782,66.232,0.025,0.238,81.635,767187,4.164,71.195,3.466,4.761,33814,2.676,3.138,78693,0.231,7.303,9023,0.837,3.308,2.332,18392,1.707,0.314,0.928,ES,1
2015Jan,684392,63.511,106573,9.89,79359,7.364,706100,267,2544,870324,3.792,65.526,0.025,0.236,80.766,757885,4.16,70.331,3.374,4.797,32876,2.936,3.051,79563,0.253,7.383,28154,2.613,3.356,2.415,33420,3.101,0.353,1.082,ES,1
2014Dec,680586,65.938,106477,10.316,77996,7.557,702990,256,2376,865059,3.82,68.109,0.025,0.23,83.811,753996,4.2,73.05,3.365,4.772,32876,2.936,3.185,78186,0.312,7.575,12926,1.252,2.955,2.21,14838,1.438,0.395,1.336,ES,1
2014Nov,679815,65.863,105928,10.263,77403,7.499,702210,253,2300,863147,3.86,68.033,0.025,0.223,83.625,752517,4.233,72.907,3.631,4.818,33017,2.946,3.199,77613,0.332,7.519,15443,1.496,2.964,2.342,34097,3.303,0.43,1.362,ES,1
2014Oct,657831,63.734,109654,10.624,77009,7.461,686602,253,2142,844493,3.876,66.521,0.025,0.208,81.818,733076,4.242,71.024,3.635,4.835,34206,3.032,3.314,77212,0.391,7.481,34049,3.299,2.817,2.329,28161,2.728,0.461,1.377,ES,1
2014Sep,657074,63.66,116138,11.252,77170,7.477,696192,256,2142,850381,3.909,67.45,0.025,0.208,82.389,743760,4.251,72.059,3.622,4.844,29206,3.686,2.83,77416,0.412,7.5,11190,1.084,2.807,2.303,35811,3.47,0.585,1.454,ES,1
2014Aug,637160,61.731,116110,11.249,72492,7.023,676095,250,2045,825761,3.898,65.503,0.024,0.198,80.003,723721,4.231,70.117,3.478,4.858,29306,3.318,2.839,72734,0.469,7.047,38250,3.706,2.72,2.368,9463,0.917,0.684,1.521,ES,1
2014Jul,662719,64.207,117045,11.34,74784,7.245,700373,253,2014,854548,3.937,67.855,0.025,0.195,82.792,750391,4.265,72.701,3.485,4.899,29306,3.334,2.839,74851,0.543,7.252,25675,2.487,2.746,2.481,46468,4.502,0.769,1.563,ES,1
2014Jun,650064,62.981,110773,10.732,72918,7.065,685267,250,1970,833755,3.944,66.392,0.024,0.191,80.778,733352,4.26,71.05,3.48,4.925,28432,3.501,2.755,71971,0.616,6.973,34390,3.332,2.465,2.291,22849,2.214,0.859,1.827,ES,1
2014May,656111,63.567,122752,11.893,66433,6.436,696982,247,1985,845295,4.013,67.527,0.024,0.192,81.896,737712,4.32,71.473,3.685,4.983,28170,3.523,2.729,79414,0.764,7.694,9798,0.949,2.483,2.351,42608,4.128,0.913,1.808,ES,1
2014Apr,626446,60.693,120430,11.668,65609,6.357,669256,244,1942,812485,4.011,64.84,0.024,0.188,78.717,710693,4.317,68.855,3.611,4.999,23220,4.279,2.25,78572,0.838,7.612,48261,4.676,2.591,2.518,24786,2.401,1.003,2.161,ES,1
2014Mar,651298,63.101,126963,12.301,57700,5.59,692535,241,1956,835961,4.039,67.096,0.023,0.189,80.992,729857,4.345,70.712,3.637,4.904,23320,4.28,2.259,82784,0.872,8.02,20060,1.944,2.625,2.548,36144,3.502,1.084,2.284,ES,1
2014Feb,641632,62.164,116712,11.308,61533,5.962,678919,244,1970,819877,3.997,65.777,0.024,0.191,79.433,710069,4.315,68.795,3.792,4.873,24320,4.272,2.356,85487,0.927,8.282,25082,2.43,2.52,2.559,27047,2.62,1.164,2.325,ES,1
2014Jan,633601,61.386,132144,12.803,53277,5.162,679153,1355,1999,819022,4.053,65.799,0.131,0.194,79.35,706035,4.377,68.404,3.99,4.966,24320,4.231,2.356,88667,1.049,8.59,21929,2.125,2.596,2.547,48597,4.708,1.232,2.426,ES,1
2013Dec,613625,60.139,131742,12.911,46988,4.605,656987,1338,1970,792354,4.039,64.388,0.131,0.193,77.655,678638,4.395,66.51,4.003,5.055,24320,4.209,2.383,89396,1.082,8.761,20426,2.002,2.578,2.53,16362,1.604,1.283,2.71,ES,1
2013Nov,619345,60.699,136679,13.395,40394,3.959,660866,1338,1985,796418,4.033,64.769,0.131,0.194,78.054,683572,4.37,66.994,3.96,4.981,24431,4.223,2.394,88415,1.083,8.665,15038,1.474,3.118,2.902,22514,2.206,1.325,2.81,ES,1
2013Oct,611901,59.97,133014,13.036,44026,4.315,660013,1292,1970,788942,4.06,64.685,0.127,0.193,77.321,673095,4.398,65.967,3.964,4.983,23892,4.258,2.342,91955,1.191,9.012,31036,3.042,3.093,2.986,34025,3.335,1.706,3.147,ES,1
2013Sep,612798,60.058,136460,13.374,36696,3.596,658106,1322,1999,785954,4.236,64.498,0.13,0.196,77.028,670889,4.447,65.751,4.012,5.05,23867,4.222,2.339,91197,2.584,8.938,9928,0.973,3.391,3.19,19739,1.935,1.789,3.396,ES,1
2013Aug,604931,59.287,132389,12.975,38823,3.805,649771,235,2045,776143,4.196,63.681,0.023,0.2,76.066,663659,4.384,65.042,3.803,5.069,23867,4.218,2.339,88616,2.653,8.685,20568,2.016,3.245,3.121,28127,2.757,2.084,3.49,ES,1
2013Jul,594602,58.274,142475,13.963,31507,3.088,646370,227,2029,768583,4.208,63.348,0.022,0.199,75.326,668683,4.403,65.535,3.816,5.106,8393,2.382,0.823,91507,2.779,8.968,37780,3.703,3.306,3.181,25115,2.461,2.231,3.573,ES,1
2013Jun,612188,59.998,136102,13.339,32809,3.215,661533,235,2076,781098,4.216,64.834,0.023,0.203,76.552,685684,4.415,67.201,3.83,5.111,8418,2.383,0.825,86997,2.78,8.526,13634,1.336,3.513,3.317,9876,0.968,2.56,3.583,ES,1
2013May,614713,60.245,139874,13.708,30269,2.967,662693,233,3615,784856,4.172,64.948,0.023,0.354,76.92,685895,4.345,67.222,3.139,5.063,8405,2.397,0.824,90557,2.895,8.875,8879,0.87,3.659,3.443,41893,4.106,2.599,3.603,ES,1
2013Apr,585506,57.383,133998,13.133,32188,3.155,636009,235,3560,751692,4.192,62.333,0.023,0.349,73.67,655627,4.343,64.255,3.16,5.08,9405,2.414,0.922,86660,3.152,8.493,28166,2.76,3.645,3.467,34270,3.359,3.099,3.715,ES,1
2013Mar,577903,56.638,134795,13.211,32888,3.223,637616,238,3671,745587,4.174,62.49,0.023,0.36,73.072,647984,4.332,63.506,3.157,5.067,9825,2.328,0.963,87779,3.145,8.603,14830,1.453,3.956,3.613,25518,2.501,3.115,3.765,ES,1
2013Feb,569948,55.858,125238,12.274,39387,3.86,625144,233,3587,734573,4.118,61.268,0.023,0.352,71.992,635091,4.254,62.243,2.811,5.063,9975,2.332,0.978,89507,3.213,8.772,30680,3.007,3.564,3.498,25668,2.516,3.197,3.822,ES,1
2013Jan,580443,56.887,124445,12.196,34697,3.4,630234,233,1985,739585,4.113,61.767,0.023,0.194,72.484,640950,4.278,62.817,2.731,5.066,10590,2.314,1.038,88045,2.984,8.629,21021,2.06,3.473,3.423,35038,3.434,3.197,3.779,ES,1
2012Dec,566518,54.943,120047,11.643,38853,3.768,618613,244,2045,725418,4.103,59.995,0.024,0.198,70.354,630118,4.264,61.111,2.656,5.043,10595,2.255,1.028,84704,3.085,8.215,11342,1.1,3.075,3.128,20757,2.013,3.089,3.612,ES,1
2012Nov,555071,53.833,122575,11.888,38357,3.72,612345,247,2076,716003,4.14,59.388,0.024,0.201,69.441,620777,4.314,60.205,3.082,5.036,10870,2.331,1.054,84356,2.956,8.181,9211,0.893,3.069,3.112,23361,2.266,3.154,3.686,ES,1
2012Oct,544960,52.852,126748,12.293,30145,2.924,602151,250,2076,701853,4.13,58.399,0.024,0.201,68.068,610899,4.302,59.247,3.076,5.036,10860,2.324,1.053,80094,2.98,7.768,31100,3.016,2.928,3.012,27768,2.693,3.224,4.034,ES,1
2012Sep,547131,53.063,128910,12.502,29144,2.827,611133,250,2092,705185,4.163,59.27,0.024,0.203,68.392,609438,4.312,59.106,3.094,5.024,16129,2.36,1.564,79618,3.119,7.722,11731,1.138,3.023,3.067,30298,2.938,3.239,4.098,ES,1
2012Aug,534750,51.862,128494,12.462,23374,2.267,594248,253,4126,686618,4.148,57.633,0.025,0.4,66.591,599681,4.293,58.159,3.372,5.022,14694,1.668,1.425,72242,3.342,7.006,10579,1.026,3.177,3.16,12477,1.21,3.333,4.184,ES,1
2012Jul,534442,51.832,126893,12.307,23384,2.268,593275,256,4227,684720,4.14,57.538,0.025,0.41,66.407,596549,4.281,57.856,3.319,5.015,14694,1.694,1.425,73476,3.365,7.126,20344,1.973,3.2,3.114,15392,1.493,3.307,4.177,ES,1
2012Jun,541377,52.505,122975,11.927,25319,2.456,600427,247,4094,689671,4.131,58.232,0.024,0.397,66.887,602250,4.283,58.409,3.326,5.012,14733,1.835,1.429,72687,3.276,7.049,13251,1.285,2.733,2.722,9771,0.948,3.294,4.168,ES,1
2012May,547322,53.081,122360,11.867,23468,2.276,604004,250,4193,693150,4.154,58.579,0.024,0.407,67.224,602835,4.306,58.465,4.117,5.039,14704,1.87,1.426,75611,3.255,7.333,13613,1.32,3.079,2.96,14215,1.379,3.259,4.143,ES,1
2012Apr,542735,52.637,122993,11.928,26820,2.601,605505,1355,3946,692548,4.151,58.724,0.131,0.383,67.166,599656,4.306,58.157,4.103,5.034,15165,1.93,1.471,77726,3.299,7.538,24117,2.339,3.029,2.915,12113,1.175,2.955,4.07,ES,1
2012Mar,555043,53.83,123327,11.961,26182,2.539,618089,1338,3909,704552,4.137,59.945,0.13,0.379,68.33,605990,4.301,58.771,4.09,5.026,15265,2.109,1.48,83297,3.209,8.078,11016,1.068,3.372,3.052,18756,1.819,2.938,4.055,ES,1
2012Feb,543509,52.712,132216,12.823,21087,2.045,612956,1322,3909,696812,4.074,59.447,0.128,0.379,67.58,596135,4.242,57.816,4.188,5.027,15240,2.23,1.478,85436,3.118,8.286,16228,1.574,3.13,2.803,24249,2.352,3.176,4.19,ES,1
2012Jan,529396,51.343,139946,13.572,19449,1.886,607031,1338,3969,688791,4.049,58.872,0.13,0.385,66.802,583397,4.227,56.58,4.17,5.001,15240,2.396,1.478,90154,3.02,8.743,9043,0.877,3.181,2.661,43752,4.243,-,-,ES,1
2011Dec,505935,47.561,124148,11.671,23998,2.256,579540,1338,3999,654081,3.991,54.48,0.126,0.376,61.487,547513,4.197,51.469,3.65,4.896,15340,2.418,1.442,91228,2.91,8.576,11747,1.104,3.183,2.543,31579,2.969,-,-,ES,1
2011Nov,491925,46.244,118667,11.155,23657,2.224,563029,1292,3880,634249,4.004,52.928,0.121,0.365,59.623,532985,4.202,50.104,3.632,4.906,15535,2.485,1.46,85729,2.924,8.059,10709,1.007,3.231,2.396,19799,1.861,-,-,ES,1
2011Oct,480501,45.17,114659,10.779,29998,2.82,556981,1292,3740,625159,3.959,52.36,0.121,0.352,58.769,523055,4.174,49.17,3.617,4.873,15517,2.472,1.459,86587,2.846,8.14,24218,2.277,3.171,2.252,20049,1.885,-,-,ES,1
2011Sep,489669,46.032,111062,10.44,28597,2.688,564597,1277,3826,629329,3.946,53.075,0.12,0.36,59.161,523235,4.174,49.187,3.828,4.861,15500,2.463,1.457,90593,2.778,8.516,8368,0.787,2.904,1.888,26793,2.519,-,-,ES,1
2011Aug,475651,44.714,103171,9.699,32059,3.014,551570,1262,3638,610881,3.943,51.851,0.119,0.342,57.426,507584,4.204,47.716,4.251,4.872,15395,2.237,1.447,87901,2.588,8.263,12667,1.191,2.903,1.828,13640,1.282,-,-,ES,1
2011Jul,472985,44.463,107439,10.1,29484,2.772,550582,1262,3662,609908,3.932,51.758,0.119,0.344,57.335,503523,4.205,47.334,4.31,4.872,15394,2.23,1.447,90991,2.48,8.554,25621,2.409,3.005,1.824,13448,1.264,-,-,ES,1
2011Jun,479220,45.05,109923,10.333,32938,3.096,563094,1279,4970,622081,3.871,52.934,0.12,0.467,58.479,513690,4.199,48.29,4.31,4.861,15215,2.02,1.43,93176,2.248,8.759,11112,1.045,1.291,1.139,18152,1.706,-,-,ES,1
2011May,474355,44.592,101675,9.558,39011,3.667,555728,1441,5085,615041,3.903,52.242,0.135,0.478,57.817,505604,4.248,47.53,4.477,4.855,15069,1.792,1.417,94368,2.143,8.871,21097,1.983,1.15,1.048,29993,2.82,-,-,ES,1
2011Apr,471313,44.306,96695,9.09,37966,3.569,546994,407,8407,605973,3.882,51.421,0.038,0.79,56.965,493610,4.224,46.402,4.477,4.844,14977,1.729,1.408,97387,2.127,9.155,25112,2.361,1.169,1.016,19330,1.817,-,-,ES,1
2011Mar,474393,44.596,92252,8.672,45110,4.241,552325,434,8728,611755,3.845,51.922,0.041,0.82,57.509,498313,4.207,46.844,5.481,4.772,14722,1.579,1.384,98720,2.079,9.28,15442,1.452,1.178,0.997,20062,1.886,-,-,ES,1
2011Feb,466231,43.828,87938,8.267,52966,4.979,550203,300,9002,607135,3.748,51.722,0.028,0.846,57.074,492173,4.107,46.267,4.199,4.776,14291,1.55,1.343,100671,1.951,9.464,11970,1.125,1.185,1.03,26713,2.511,-,-,ES,1
2011Jan,460233,43.265,76033,7.148,56127,5.276,538196,241,9031,592393,3.722,50.594,0.023,0.849,55.688,482342,4.098,45.343,4.205,4.755,14292,1.535,1.343,95759,1.797,9.002,19421,1.826,1.208,1.065,21455,2.017,-,-,ES,1
2010Dec,455303,42.444,74176,6.915,60879,5.675,540980,238,9237,590359,3.7,50.431,0.022,0.861,55.034,480095,4.105,44.755,4.1,4.667,14484,1.485,1.35,95779,1.562,8.929,12868,1.2,-,-,25937,2.418,-,-,ES,1
2010Nov,444403,41.428,70891,6.609,61995,5.779,528042,247,9545,577290,3.66,49.225,0.023,0.89,53.816,464240,4.087,43.277,4.08,4.642,14132,1.445,1.317,98918,1.502,9.221,13124,1.223,-,-,21769,2.029,-,-,ES,1
2010Oct,432734,40.34,68636,6.398,67276,6.272,523718,253,8946,568645,3.614,48.822,0.024,0.834,53.01,451173,4.08,42.059,4.047,4.657,13941,1.433,1.3,103532,1.409,9.651,10571,0.985,-,-,25003,2.331,-,-,ES,1
2010Sep,436780,40.717,46748,4.358,70686,6.59,508915,241,9304,554214,3.603,47.442,0.023,0.867,51.665,443318,4.072,41.327,4.05,4.648,13441,1.347,1.253,97455,1.339,9.085,9890,0.922,-,-,12213,1.139,-,-,ES,1
2010Aug,433762,40.436,53777,5.013,64352,5.999,505762,265,9941,551890,3.587,47.148,0.025,0.927,51.448,441354,4.08,41.144,3.485,4.648,13345,1.262,1.244,97191,1.259,9.06,12590,1.174,-,-,18754,1.748,-,-,ES,1
2010Jul,437447,40.78,44010,4.103,64270,5.991,500046,258,9679,545727,3.655,46.615,0.024,0.902,50.874,441551,4.128,41.162,3.487,4.667,13282,1.22,1.238,90894,1.235,8.473,27795,2.591,-,-,31427,2.93,-,-,ES,1
2010Jun,431939,40.266,50490,4.707,59666,5.562,494631,368,11123,542095,3.591,46.11,0.034,1.037,50.535,439241,4.101,40.947,3.487,4.647,12747,1.084,1.188,90106,1.097,8.4,9136,0.852,-,-,17169,1.601,-,-,ES,1
2010May,422666,39.402,50471,4.705,60925,5.68,486569,438,11048,534062,-,45.359,0.041,1.03,49.786,433656,-,40.426,-,-,12347,-,1.151,88059,-,8.209,10538,0.982,-,-,21228,1.979,-,-,ES,1
2010Apr,413186,38.518,49151,4.582,61034,5.69,476727,478,10259,523372,-,44.441,0.045,0.956,48.79,424177,-,39.543,-,-,12292,-,1.146,86903,-,8.101,14492,1.351,-,-,13871,1.293,-,-,ES,1
2010Mar,422065,39.346,45442,4.236,56485,5.266,477201,429,10201,523993,-,44.486,0.04,0.951,48.848,419059,-,39.066,-,-,12142,-,1.132,92792,-,8.65,13213,1.232,-,-,28204,2.629,-,-,ES,1
2010Feb,408868,38.115,43585,4.063,56549,5.272,462240,657,10145,509002,-,43.091,0.061,0.946,47.45,409210,-,38.147,-,-,10492,-,0.978,89300,-,8.325,21164,1.973,-,-,20857,1.944,-,-,ES,1
2010Jan,401110,37.392,44404,4.139,63794,5.947,463057,645,9795,509308,-,43.167,0.06,0.913,47.479,407951,-,38.03,-,-,9938,-,0.926,91420,-,8.522,30186,2.814,-,-,25779,2.403,-,-,ES,1
2009Dec,388595,36.34,56814,5.313,68307,6.388,467831,722,9469,513716,-,43.75,0.068,0.886,48.041,409386,-,38.285,-,-,10346,-,0.968,93984,-,8.789,9046,0.846,-,-,20139,1.883,-,-,ES,1
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ES,1
