Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3970
,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.I8.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.I8.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.I8.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.I8.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.I8.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T
2015Oct,6310191,59.984,876469,8.332,527687,5.016,5915410,39407,159520,7714348,2.858,56.231,0.375,1.516,73.331,6131836,3.315,58.288,3.027,3.672,890207,1.364,8.462,692305,0.128,6.581,217814,2.071,2.604,1.362,216625,2.059,0.116,0.390
2015Sep,6339925,60.266,836022,7.947,529555,5.034,5929904,38534,169387,7705502,2.877,56.369,0.366,1.610,73.247,6140644,3.332,58.372,2.976,3.706,886807,1.395,8.430,678052,0.140,6.445,190776,1.813,2.725,1.408,228624,2.173,0.128,0.395
2015Aug,6289726,59.789,824633,7.839,524995,4.991,5877073,39993,150270,7639354,2.898,55.866,0.380,1.428,72.618,6087628,3.354,57.868,2.911,3.723,887979,1.400,8.441,663747,0.117,6.309,147387,1.401,2.907,1.516,145251,1.381,0.129,0.403
2015Jul,6287362,59.767,817973,7.776,527792,5.017,5894665,41292,155099,7633127,2.889,56.034,0.393,1.474,72.559,6083119,3.345,57.825,2.796,3.710,886099,1.394,8.423,663909,0.139,6.311,256850,2.442,2.828,1.557,207170,1.969,0.143,0.416
2015Jun,6322012,60.096,820575,7.800,536568,5.101,5987034,40524,147811,7679155,2.911,56.912,0.385,1.405,72.997,6128134,3.369,58.253,2.807,3.734,899678,1.402,8.552,651343,0.137,6.192,181656,1.727,2.807,1.484,187088,1.778,0.164,0.456
2015May,6266151,59.565,854447,8.122,553109,5.258,5995546,41059,152767,7673707,2.936,56.993,0.390,1.452,72.945,6108341,3.391,58.065,2.805,3.751,892629,1.432,8.485,672737,0.145,6.395,129189,1.228,2.997,1.638,194719,1.851,0.174,0.492
2015Apr,6200808,58.944,841915,8.003,562306,5.345,5967081,40023,143754,7605029,2.950,56.722,0.380,1.367,72.292,6037117,3.404,57.388,2.791,3.778,889930,1.446,8.460,677982,0.275,6.445,226400,2.152,2.930,1.657,196352,1.866,0.233,0.563
2015Mar,6277536,59.673,774151,7.359,583353,5.545,6009548,39874,150812,7635040,2.976,57.126,0.379,1.434,72.577,6073679,3.425,57.735,2.767,3.799,880630,1.500,8.371,680731,0.309,6.471,186301,1.771,3.004,1.657,238583,2.268,0.269,0.629
2015Feb,6203997,58.974,802318,7.627,573838,5.455,5963543,39175,138969,7580153,3.001,56.688,0.372,1.321,72.056,6042939,3.445,57.443,2.679,3.834,875905,1.529,8.326,661310,0.326,6.286,181092,1.721,3.014,1.692,212665,2.022,0.295,0.684
2015Jan,6173700,58.686,794142,7.549,580604,5.519,5940175,39374,143111,7548446,3.026,56.466,0.374,1.360,71.754,6016395,3.467,57.191,2.741,3.882,873771,1.543,8.306,658280,0.372,6.257,224286,2.132,2.937,1.685,267134,2.539,0.331,0.759
2014Dec,6101904,60.016,836185,8.224,566765,5.574,5929055,31910,138339,7504854,3.060,58.316,0.314,1.361,73.814,5991941,3.501,58.934,2.783,3.927,868951,1.567,8.547,643962,0.395,6.334,169716,1.669,2.857,1.603,117972,1.160,0.375,0.823
2014Nov,6150936,60.498,815369,8.020,587846,5.782,5980796,32808,131898,7554152,3.058,58.824,0.323,1.297,74.299,5998087,3.505,58.994,2.843,3.917,881256,1.571,8.668,674808,0.388,6.637,249082,2.450,2.975,1.714,242770,2.388,0.396,0.841
2014Oct,6049400,59.499,816787,8.034,687680,6.764,5907392,125588,129601,7553868,3.058,58.102,1.235,1.275,74.296,5904611,3.513,58.075,2.863,3.933,873660,1.610,8.593,775597,0.430,7.628,240562,2.366,2.846,1.682,229336,2.256,0.422,0.898
2014Sep,6029170,59.300,827541,8.139,708176,6.965,5919181,127469,135016,7564887,3.098,58.218,1.254,1.328,74.405,5907833,3.545,58.107,3.018,3.944,864828,1.668,8.506,792226,0.462,7.792,208242,2.048,2.784,1.627,243905,2.399,0.467,0.950
2014Aug,5966362,58.682,857228,8.431,705147,6.936,5882987,123241,125961,7528737,3.123,57.862,1.212,1.239,74.049,5858567,3.575,57.622,3.074,4.011,876685,1.660,8.623,793485,0.515,7.804,187122,1.840,2.900,1.693,240118,2.362,0.522,1.001
2014Jul,5998337,58.997,861802,8.476,614047,6.039,5919619,29493,128237,7474186,3.128,58.223,0.290,1.261,73.513,5896608,3.574,57.996,3.051,4.025,877977,1.714,8.635,699602,0.608,6.881,256498,2.523,2.857,1.714,253111,2.489,0.553,1.032
2014Jun,6019495,59.205,850490,8.365,610663,6.006,5964564,28329,120825,7480649,3.153,58.665,0.279,1.188,73.576,5902210,3.591,58.051,3.080,4.046,873936,1.747,8.596,704503,0.651,6.929,208287,2.049,2.763,1.625,222219,2.186,0.581,1.074
2014May,6007853,59.091,856242,8.422,601731,5.918,5941720,28866,114725,7465826,3.189,58.440,0.284,1.128,73.430,5895717,3.629,57.988,3.198,4.083,862514,1.748,8.483,707595,0.695,6.960,157035,1.545,2.875,1.733,249565,2.455,0.600,1.074
2014Apr,5890973,57.941,886685,8.721,589859,5.802,5865074,30529,109243,7367517,3.195,57.686,0.300,1.074,72.464,5810524,3.633,57.150,3.227,4.097,845747,1.775,8.318,711246,0.721,6.995,249700,2.456,2.821,1.749,235131,2.313,0.608,1.134
2014Mar,5896261,57.993,892326,8.777,591691,5.820,5892245,29904,114244,7380277,3.225,57.953,0.294,1.124,72.589,5828769,3.655,57.329,3.247,4.078,823203,1.813,8.097,728306,0.811,7.163,181769,1.788,2.832,1.701,259202,2.549,0.608,1.186
2014Feb,5839959,57.439,876525,8.621,585959,5.763,5819788,30690,122631,7302444,3.234,57.241,0.302,1.206,71.824,5751315,3.676,56.567,3.358,4.107,828373,1.793,8.148,722756,0.819,7.109,166808,1.641,3.000,1.815,212164,2.087,0.625,1.193
2014Jan,5826045,57.302,849387,8.354,582619,5.730,5778518,32791,128974,7258051,3.237,56.835,0.323,1.269,71.387,5702507,3.682,56.087,3.355,4.145,826686,1.769,8.131,728857,0.870,7.169,249838,2.457,2.977,1.828,281024,2.764,0.640,1.216
2013Dec,5793366,58.323,871005,8.769,560992,5.648,5761325,30566,118709,7225363,3.257,58.000,0.308,1.195,72.739,5679697,3.699,57.178,3.372,4.166,825551,1.802,8.311,720116,0.884,7.249,179267,1.805,3.020,1.799,112994,1.138,0.643,1.238
2013Nov,5839078,58.783,862720,8.685,589636,5.936,5823825,33192,127217,7291433,3.245,58.629,0.334,1.281,73.404,5706573,3.697,57.449,3.367,4.154,827460,1.783,8.330,757400,0.926,7.625,152126,1.531,3.196,1.921,220533,2.220,0.677,1.269
2013Oct,5765450,58.042,856532,8.623,595328,5.993,5779102,32595,129687,7217309,3.252,58.179,0.328,1.306,72.658,5656455,3.706,56.944,3.379,4.165,800535,1.756,8.059,760320,0.950,7.654,222983,2.245,3.226,2.039,223866,2.254,0.717,1.296
2013Sep,5765195,58.039,859946,8.657,590287,5.942,5782224,33590,129491,7215428,3.282,58.210,0.338,1.304,72.639,5654244,3.720,56.922,3.255,4.173,800198,1.770,8.056,760986,1.151,7.661,196277,1.976,3.193,2.013,205477,2.069,0.732,1.323
2013Aug,5770094,58.088,839415,8.450,591554,5.955,5777608,31944,129271,7201062,3.292,58.164,0.322,1.301,72.494,5642400,3.735,56.803,3.269,4.197,795791,1.736,8.011,762871,1.148,7.680,170277,1.714,3.233,2.063,183041,1.843,0.757,1.360
2013Jul,5755737,57.944,847220,8.529,583749,5.877,5770192,31599,132207,7186706,3.323,58.089,0.318,1.331,72.349,5644424,3.738,56.823,3.345,4.212,780424,1.847,7.857,761858,1.255,7.670,262423,2.642,3.119,2.039,197248,1.986,0.794,1.370
2013Jun,5819748,58.588,823927,8.295,605918,6.100,5835224,33396,138578,7249592,3.348,58.744,0.336,1.395,72.983,5692144,3.759,57.304,3.331,4.238,793514,1.842,7.988,763934,1.303,7.691,182308,1.835,3.062,1.960,199168,2.005,0.857,1.389
2013May,5794489,58.334,842573,8.482,595131,5.991,5812704,37507,139660,7232193,3.363,58.517,0.378,1.406,72.807,5674105,3.774,57.122,3.235,4.270,797310,1.823,8.027,760778,1.340,7.659,166330,1.674,3.317,2.133,252501,2.542,0.921,1.433
2013Apr,5728414,57.669,820272,8.258,596315,6.003,5736777,37678,131159,7145001,3.356,57.753,0.379,1.320,71.930,5587083,3.773,56.246,3.227,4.264,800189,1.802,8.056,757730,1.387,7.628,270199,2.720,3.282,2.161,280369,2.823,0.962,1.398
2013Mar,5679403,57.175,839471,8.451,615678,6.198,5731428,39114,143139,7134552,3.379,57.699,0.394,1.441,71.824,5576207,3.798,56.136,3.225,4.277,781795,1.783,7.870,776550,1.353,7.818,210501,2.119,3.240,2.129,240887,2.425,0.996,1.384
2013Feb,5660462,56.985,822005,8.275,613704,6.178,5669932,38169,146350,7096171,3.399,57.080,0.384,1.473,71.438,5547623,3.809,55.849,3.248,4.299,781065,1.850,7.863,767482,1.421,7.726,228165,2.297,3.257,2.204,251238,2.529,1.005,1.416
2013Jan,5591982,56.295,847371,8.531,609991,6.141,5637323,37910,142937,7049345,3.394,56.752,0.382,1.439,70.967,5516237,3.818,55.533,3.270,4.315,773143,1.747,7.783,759964,1.416,7.651,237308,2.389,3.148,2.197,270911,2.727,1.080,1.599
2012Dec,5620855,57.154,782171,7.953,610966,6.212,5617162,37288,133933,7013992,3.436,57.116,0.379,1.362,71.319,5495990,3.841,55.884,3.307,4.344,779677,1.837,7.928,738325,1.516,7.507,227831,2.317,3.087,2.167,139050,1.414,1.177,1.649
2012Nov,5648686,57.437,810610,8.242,643478,6.543,5692994,37415,135178,7102773,3.429,57.887,0.380,1.375,72.222,5544083,3.842,56.373,3.393,4.310,776404,1.837,7.895,782286,1.511,7.954,154977,1.576,3.111,2.157,219142,2.228,1.196,1.667
2012Oct,5583160,56.770,818509,8.323,636714,6.474,5630037,35281,135912,7038383,3.449,57.247,0.359,1.382,71.567,5471995,3.851,55.640,3.435,4.323,784882,1.878,7.981,781506,1.710,7.946,237154,2.411,3.076,2.131,237119,2.411,1.253,1.734
2012Sep,5567792,56.614,850081,8.644,619829,6.303,5669959,34181,138794,7037702,3.472,57.653,0.348,1.411,71.561,5487307,3.858,55.796,3.483,4.329,783976,1.884,7.972,766419,1.852,7.793,208372,2.119,2.984,2.068,226587,2.304,1.296,1.771
2012Aug,5549716,56.430,851749,8.661,618021,6.284,5671384,35731,148028,7019486,3.490,57.668,0.363,1.505,71.375,5451185,3.883,55.429,3.549,4.359,808402,1.873,8.220,759899,1.877,7.727,162373,1.651,3.131,2.136,183792,1.869,1.351,1.825
2012Jul,5529026,56.220,848812,8.631,619537,6.300,5684750,35818,157428,6997375,3.494,57.803,0.364,1.601,71.150,5410829,3.881,55.018,3.482,4.370,809774,1.917,8.234,776773,1.891,7.898,243710,2.478,3.149,2.179,269658,2.742,1.370,1.862
2012Jun,5525574,56.185,847286,8.615,598444,6.085,5695296,32816,147145,6971304,3.509,57.911,0.334,1.496,70.885,5420829,3.899,55.120,3.449,4.398,807919,1.977,8.215,742555,1.853,7.550,179806,1.828,2.965,2.051,203430,2.069,1.391,1.902
2012May,5506758,55.994,842369,8.565,598285,6.083,5706047,32238,149514,6947412,3.531,58.020,0.328,1.520,70.642,5397297,3.925,54.881,3.670,4.419,803056,1.987,8.166,747059,1.834,7.596,187691,1.908,3.169,2.155,254009,2.583,1.405,1.939
2012Apr,5423109,55.143,853128,8.675,602911,6.131,5678134,37365,140294,6879149,3.560,57.736,0.380,1.427,69.948,5329343,3.931,54.190,3.687,4.426,804631,2.133,8.182,745175,1.922,7.577,219186,2.229,3.134,2.099,229234,2.331,1.459,1.994
2012Mar,5436836,55.283,827708,8.416,604556,6.147,5708917,38770,126870,6869101,3.592,58.049,0.394,1.290,69.846,5308093,3.953,53.974,3.689,4.443,788621,2.234,8.019,772387,2.002,7.854,395355,4.020,3.107,2.014,285985,2.908,1.505,2.068
2012Feb,5473361,55.654,898124,9.132,606987,6.172,5757420,35763,127524,6978471,3.655,58.542,0.364,1.297,70.958,5389021,4.010,54.796,3.733,4.527,809822,2.315,8.234,779629,2.070,7.927,288689,2.935,3.280,2.030,361122,3.672,1.542,2.128
2012Jan,5388733,54.794,930995,9.467,586281,5.961,5694848,30144,120457,6906009,3.661,57.906,0.307,1.225,70.221,5326851,4.010,54.164,3.683,4.539,808598,2.361,8.222,770561,2.067,7.835,228498,2.323,3.229,1.961,304734,3.099,-,-
2011Dec,5348734,54.601,924569,9.438,556470,5.681,5639915,29138,121036,6829773,3.678,57.574,0.297,1.236,69.720,5293555,4.028,54.038,3.644,4.525,803829,2.397,8.206,732390,2.054,7.476,186149,1.900,3.241,1.875,208296,2.126,-,-
2011Nov,5336149,54.473,873894,8.921,593103,6.055,5632102,26682,117946,6803146,3.659,57.494,0.272,1.204,69.448,5242075,4.034,53.513,3.710,4.515,804665,2.280,8.214,756406,1.977,7.722,168172,1.717,3.387,1.925,238244,2.432,-,-
2011Oct,5247331,53.566,860110,8.780,625232,6.383,5600497,26604,109334,6732673,3.629,57.171,0.272,1.116,68.729,5167768,4.026,52.754,3.649,4.513,797126,2.237,8.137,767780,1.846,7.838,215874,2.204,3.356,1.872,217548,2.221,-,-
2011Sep,5267345,53.771,830174,8.475,633469,6.467,5612597,23626,112439,6730988,3.615,57.295,0.241,1.148,68.712,5162437,4.024,52.700,3.650,4.515,783518,2.189,7.998,785033,1.808,8.014,242987,2.480,3.394,1.815,235824,2.407,-,-
2011Aug,5271450,53.812,843416,8.610,622562,6.355,5650111,21760,103113,6737428,3.615,57.678,0.222,1.053,68.778,5174626,4.036,52.824,3.687,4.527,784676,2.124,8.010,778126,1.719,7.943,157244,1.605,3.510,1.770,196298,2.004,-,-
2011Jul,5237689,53.468,843128,8.607,617072,6.299,5603524,20173,103702,6697889,3.599,57.202,0.206,1.059,68.374,5152542,4.035,52.599,3.779,4.533,777343,2.085,7.935,768003,1.667,7.840,239770,2.448,3.442,1.756,218357,2.229,-,-
2011Jun,5282954,53.930,803776,8.205,632671,6.458,5652601,18516,104993,6719402,3.604,57.703,0.189,1.072,68.594,5191567,4.052,52.997,3.823,4.530,776645,2.061,7.928,751190,1.580,7.668,163828,1.672,3.292,1.635,206523,2.108,-,-
2011May,5249097,53.584,795712,8.123,631337,6.445,5623170,16406,104361,6676147,3.615,57.403,0.167,1.065,68.152,5165012,4.063,52.726,3.736,4.529,764758,2.036,7.807,746377,1.517,7.619,182669,1.865,3.351,1.727,220352,2.249,-,-
2011Apr,5203253,53.116,793900,8.104,640458,6.538,5586281,14583,115505,6637611,3.589,57.026,0.149,1.179,67.759,5115977,4.055,52.225,3.710,4.539,776542,1.970,7.927,745092,1.443,7.606,234683,2.396,3.381,1.789,240836,2.459,-,-
2011Mar,5202205,53.106,754170,7.699,675082,6.891,5596507,12606,121957,6631457,3.567,57.131,0.129,1.245,67.696,5125478,4.051,52.322,3.719,4.545,763180,1.884,7.791,742799,1.377,7.583,256785,2.621,3.372,1.771,229981,2.348,-,-
2011Feb,5195862,53.041,728837,7.440,733562,7.488,5641781,9839,112581,6658261,3.554,57.593,0.100,1.149,67.969,5109470,4.057,52.159,3.652,4.540,798007,1.784,8.146,750784,1.317,7.664,176570,1.802,3.431,1.841,220185,2.248,-,-
2011Jan,5159592,52.671,700240,7.148,754815,7.705,5614097,8042,118570,6614646,3.553,57.310,0.082,1.210,67.524,5078173,4.060,51.839,3.722,4.538,785203,1.818,8.016,751270,1.235,7.669,229464,2.342,3.420,1.932,286603,2.926,-,-
2010Dec,5118348,53.702,690088,7.240,749071,7.859,5589283,6185,113844,6557507,3.560,58.643,0.065,1.194,68.802,5089013,4.063,53.394,3.583,4.544,762820,1.838,8.004,705674,1.122,7.404,177261,1.860,-,-,227268,2.385,-,-
2010Nov,5100093,53.510,688158,7.220,719249,7.546,5539655,7740,119735,6507500,3.565,58.122,0.081,1.256,68.277,5051438,4.065,53.000,3.562,4.534,713644,1.832,7.488,742418,1.105,7.789,135611,1.423,-,-,320025,3.358,-,-
2010Oct,4962265,52.064,690003,7.240,670818,7.038,5379015,7098,113252,6323086,3.567,56.437,0.074,1.188,66.342,4953759,4.089,51.975,3.603,4.549,631932,1.833,6.630,737395,1.045,7.737,143669,1.507,-,-,245215,2.573,-,-
2010Sep,4911712,51.534,665961,6.987,643866,6.755,5281494,6763,116512,6221539,3.604,55.414,0.071,1.222,65.277,4883320,4.129,51.236,3.789,4.565,610316,1.852,6.403,727903,1.008,7.637,221658,2.326,-,-,195803,2.054,-,-
2010Aug,4945733,51.891,661953,6.945,639709,6.712,5315773,6406,115874,6247394,3.611,55.773,0.067,1.216,65.548,4874645,4.142,51.145,3.707,4.555,618479,1.814,6.489,754271,0.982,7.914,145259,1.524,-,-,201864,2.118,-,-
2010Jul,4916978,51.589,656977,6.893,616835,6.472,5271165,6459,116319,6190790,3.616,55.305,0.068,1.220,64.954,4839509,4.162,50.776,3.852,4.566,617604,1.862,6.480,733677,0.994,7.698,242506,2.544,-,-,255684,2.683,-,-
2010Jun,4907870,51.494,649965,6.819,619778,6.503,5246511,6514,124986,6177612,3.667,55.047,0.068,1.311,64.816,4852232,4.175,50.910,3.823,4.569,586465,1.884,6.153,738915,0.995,7.753,183292,1.923,-,-,213072,2.236,-,-
2010May,4843030,50.813,669781,7.027,635020,6.663,5214010,6364,133776,6147832,-,54.706,0.067,1.404,64.503,4807459,-,50.440,-,-,592768,-,6.219,747605,-,7.844,132437,1.390,-,-,231601,2.430,-,-
2010Apr,4757318,49.914,653663,6.858,637686,6.691,5139951,5799,120369,6048668,-,53.929,0.061,1.263,63.463,4723681,-,49.561,-,-,579729,-,6.083,745258,-,7.819,208048,2.183,-,-,238593,2.503,-,-
2010Mar,4718531,49.507,668732,7.016,630860,6.619,5103957,5595,120824,6018123,-,53.551,0.059,1.268,63.142,4692801,-,49.237,-,-,568581,-,5.966,756741,-,7.940,202955,2.129,-,-,233267,2.447,-,-
2010Feb,4683192,49.136,647356,6.792,657263,6.896,5084256,6830,111446,5987811,-,53.344,0.072,1.169,62.824,4641340,-,48.697,-,-,553645,-,5.809,792826,-,8.318,180328,1.892,-,-,247355,2.595,-,-
2010Jan,4608438,48.352,627788,6.587,684559,7.182,5012011,8599,109076,5920784,-,52.586,0.090,1.144,62.121,4549978,-,47.739,-,-,553467,-,5.807,817340,-,8.576,218668,2.294,-,-,256328,2.689,-,-
2009Dec,4573091,49.329,640972,6.914,669061,7.217,4987918,7648,104228,5883125,-,53.804,0.083,1.124,63.461,4546576,-,49.043,-,-,536359,-,5.786,800189,-,8.632,160913,1.736,-,-,136231,1.470,-,-
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
