Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.AT.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.AT.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.AT.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.AT.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.AT.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T,,
2015Sep,212113,61.612,13987,4.063,6492,1.886,191175,108,6790,232592,3.225,55.531,0.031,1.972,67.561,214949,3.398,62.436,3.752,3.42,10911,1.117,3.169,6732,0.556,1.955,902,0.262,3.505,1.93,3530,1.025,0.329,0.508,AT,1
2015Aug,219981,63.898,2384,0.692,6870,1.996,188085,110,7058,229234,3.25,54.633,0.032,2.05,66.586,211898,3.423,61.55,3.737,3.45,10227,1.192,2.971,7110,0.555,2.065,5355,1.555,3.467,2.368,974,0.283,0.323,0.501,AT,1
2015Jul,220327,63.998,2434,0.707,10838,3.148,187958,114,11055,233600,3.248,54.596,0.033,3.211,67.854,212280,3.425,61.661,2.155,3.447,10242,1.206,2.975,11078,0.547,3.218,13890,4.035,3.504,2.671,4251,1.235,0.316,0.501,AT,1
2015Jun,221310,64.284,14680,4.264,7249,2.105,201263,113,7261,243239,3.245,58.461,0.033,2.109,70.654,225497,3.424,65.5,2.159,3.447,10254,1.191,2.978,7488,0.584,2.175,414,0.12,3.48,1.978,5572,1.618,0.341,0.523,AT,1
2015May,217342,63.131,13761,3.997,6978,2.027,196323,111,6964,238080,3.302,57.026,0.032,2.023,69.155,220408,3.484,64.022,3.398,3.576,10455,1.243,3.037,7217,0.523,2.096,945,0.275,3.874,2.604,1829,0.531,0.33,0.577,AT,1
2015Apr,216478,62.88,13678,3.973,7040,2.045,195424,432,6705,237196,3.311,56.765,0.125,1.948,68.898,219239,3.488,63.682,3.537,3.583,10678,1.258,3.102,7279,0.522,2.114,1510,0.439,3.877,2.482,1869,0.543,0.314,0.552,AT,1
2015Mar,215443,62.58,13821,4.015,7574,2.2,194453,432,6982,236837,3.298,56.483,0.125,2.028,68.794,218116,3.482,63.356,3.537,3.576,10908,1.275,3.168,7813,0.549,2.269,1361,0.395,3.936,2.509,2266,0.658,0.309,0.538,AT,1
2015Feb,214136,62.2,13781,4.003,7333,2.13,193407,432,6457,235249,3.293,56.179,0.125,1.876,68.333,216106,3.495,62.772,3.526,3.582,11571,1.147,3.361,7572,0.533,2.199,1742,0.506,3.936,2.504,1735,0.504,0.309,0.539,AT,1
2015Jan,214181,62.213,13773,4.001,7303,2.121,193602,420,6135,235256,3.302,56.236,0.122,1.782,68.335,216099,3.503,62.77,3.526,3.599,11615,1.166,3.374,7542,0.524,2.191,496,0.144,3.936,2.51,2463,0.715,0.308,0.54,AT,1
2014Dec,212944,63.919,13748,4.127,6583,1.976,192900,404,5398,233275,3.318,57.902,0.121,1.62,70.022,214548,3.52,64.401,3.528,3.608,11905,1.207,3.574,6822,0.466,2.048,1236,0.371,3.936,2.436,2747,0.825,0.301,0.529,AT,1
2014Nov,211615,63.52,14255,4.279,5893,1.769,192084,399,4706,231763,3.347,57.658,0.12,1.412,69.568,213858,3.532,64.193,3.528,3.629,11773,1.232,3.534,6133,0.453,1.841,4794,1.439,3.92,2.478,32600,9.786,0.288,0.531,AT,1
2014Oct,181420,54.456,13354,4.009,9183,2.756,162771,399,8252,203957,3.408,48.859,0.12,2.477,61.221,189267,3.536,56.812,3.539,3.648,5310,1.268,1.594,9380,0.442,2.815,17172,5.155,3.92,2.758,10555,3.168,0.283,0.509,AT,1
2014Sep,181250,54.405,24495,7.353,4829,1.45,162970,404,3613,210574,3.486,48.918,0.121,1.084,63.208,195174,3.619,58.585,3.539,3.677,10374,1.242,3.114,5026,0.414,1.509,701,0.211,4.367,2.283,3284,0.986,0.315,0.603,AT,1
2014Aug,178633,53.62,24941,7.486,4418,1.326,160512,394,3070,207991,3.509,48.181,0.118,0.921,62.433,193013,3.633,57.937,3.483,3.719,10364,1.334,3.111,4615,0.53,1.385,2611,0.784,4.027,2.897,1172,0.352,0.316,0.612,AT,1
2014Jul,177979,53.424,24932,7.484,6519,1.957,160793,399,4259,209430,3.523,48.265,0.12,1.278,62.864,192376,3.643,57.745,3.522,3.719,10338,1.337,3.103,6716,0.538,2.016,10438,3.133,4.027,3.076,4270,1.282,0.317,0.62,AT,1
2014Jun,190105,57.063,21369,6.414,4125,1.238,168265,394,3009,215598,3.534,50.508,0.118,0.903,64.716,200914,3.647,60.308,3.522,3.728,10362,1.326,3.11,4322,0.501,1.297,2384,0.716,3.875,2.744,9643,2.894,0.339,0.674,AT,1
2014May,180669,54.231,21191,6.361,6480,1.945,160334,389,3693,208339,3.668,48.127,0.117,1.108,62.537,193351,3.763,58.038,3.895,3.818,8312,1.955,2.495,6676,0.575,2.004,2339,0.702,3.877,2.96,8166,2.451,0.339,0.396,AT,1
2014Apr,174908,52.502,22068,6.624,5536,1.662,153891,98,4620,202512,3.675,46.193,0.029,1.387,60.788,193487,3.771,58.079,3.887,3.713,3293,1.96,0.988,5733,0.532,1.721,463,0.139,3.786,3.03,2303,0.691,0.354,0.423,AT,1
2014Mar,174398,52.349,22075,6.626,4199,1.26,152417,96,4255,200672,3.691,45.751,0.029,1.277,60.235,192968,3.783,57.923,3.94,3.723,3309,1.912,0.993,4396,0.507,1.319,662,0.199,3.794,3,1130,0.339,0.355,1.033,AT,1
2014Feb,173595,52.108,22072,6.625,4538,1.362,151639,98,4599,200204,3.683,45.517,0.029,1.38,60.095,192445,3.782,57.766,3.939,3.723,3024,1.755,0.908,4735,0.469,1.421,1352,0.406,3.784,2.865,1544,0.463,0.326,0.979,AT,1
2014Jan,172383,51.744,22083,6.629,5546,1.665,150827,98,5222,200012,3.689,45.274,0.029,1.568,60.037,191251,3.791,57.408,3.94,3.803,3018,1.752,0.906,5743,0.448,1.724,1730,0.519,3.791,2.991,2996,0.899,0.337,0.985,AT,1
2013Dec,170713,52.704,23634,7.296,4399,1.358,149546,96,5000,198746,3.695,46.169,0.03,1.544,61.359,191128,3.799,59.007,3.939,3.818,3022,1.708,0.933,4596,0.423,1.419,684,0.211,3.801,2.958,1158,0.357,0.354,1.033,AT,1
2013Nov,170023,52.491,23654,7.303,4595,1.419,148842,96,5206,198272,3.7,45.952,0.03,1.607,61.212,190469,3.799,58.803,3.923,3.818,3012,1.72,0.93,4792,0.413,1.479,2408,0.743,3.816,3.011,696,0.215,0.393,1.036,AT,1
2013Oct,165969,51.239,23658,7.304,5811,1.794,144485,93,6721,195438,3.762,44.607,0.029,2.075,60.337,186455,3.855,57.564,3.924,3.819,2975,1.726,0.919,6008,0.399,1.855,18624,5.75,3.816,3.247,4375,1.351,0.399,1.048,AT,1
2013Sep,175446,54.165,30662,9.466,3580,1.105,160358,95,5133,209687,3.777,49.507,0.029,1.585,64.736,202991,3.867,62.669,3.924,3.84,2919,1.764,0.901,3776,0.349,1.166,122,0.038,3.226,1.638,2967,0.916,0.478,1.18,AT,1
2013Aug,172936,53.39,25248,7.795,3658,1.129,152416,94,5250,201841,3.794,47.055,0.029,1.621,62.314,195067,3.889,60.222,4.097,3.886,2920,1.7,0.902,3854,0.343,1.19,7280,2.248,3.226,1.599,1048,0.324,0.478,1.18,AT,1
2013Jul,174014,53.723,30240,9.336,3819,1.179,158324,91,5398,208074,3.792,48.879,0.028,1.667,64.238,199168,3.884,61.489,4.03,3.886,4890,1.774,1.51,4016,0.343,1.24,1626,0.502,3.226,1.572,3303,1.02,0.509,1.174,AT,1
2013Jun,182948,56.481,20695,6.389,2754,0.85,158218,94,4523,206397,3.807,48.846,0.029,1.396,63.721,198861,3.881,61.394,4.03,3.883,4585,1.788,1.416,2951,0.348,0.911,7495,2.314,3.226,1.496,6086,1.879,0.562,1.594,AT,1
2013May,181898,56.157,22770,7.03,3138,0.969,157148,93,6138,207807,3.862,48.516,0.029,1.895,64.156,194929,3.939,60.18,3.881,3.999,9543,1.804,2.946,3335,0.348,1.03,5725,1.767,4.762,3.168,568,0.175,0.568,1.544,AT,1
2013Apr,187250,57.809,21970,6.783,3744,1.156,161664,94,6917,212964,3.816,49.91,0.029,2.135,65.748,199654,3.89,61.639,3.844,3.909,9566,1.815,2.953,3744,0.371,1.156,2423,0.748,4.766,3.184,11523,3.557,0.606,1.558,AT,1
2013Mar,176122,54.374,22258,6.872,5484,1.693,150644,95,8773,203863,3.849,46.508,0.029,2.709,62.938,193666,3.94,59.79,3.794,4.011,4713,1.729,1.455,5484,0.417,1.693,708,0.219,4.75,3.188,2317,0.715,0.61,1.28,AT,1
2013Feb,175201,54.089,22507,6.949,4546,1.403,149529,233,7618,202254,3.844,46.164,0.072,2.352,62.441,192750,3.948,59.507,3.803,4.026,4762,1.83,1.47,4743,0.544,1.464,414,0.128,4.741,3.181,1792,0.553,0.671,1.354,AT,1
2013Jan,174116,53.754,22453,6.932,4307,1.33,148839,233,7007,200876,3.853,45.951,0.072,2.163,62.016,191453,3.95,59.107,3.804,4.031,4919,1.995,1.519,4504,0.57,1.39,462,0.143,4.685,3.157,6658,2.056,0.697,1.395,AT,1
2012Dec,174697,54.824,15970,5.012,4013,1.259,142732,244,6803,194679,3.867,44.792,0.077,2.135,61.094,185540,3.96,58.226,3.795,4.047,4930,2.05,1.547,4209,0.745,1.321,396,0.124,4.712,3.144,2106,0.661,0.786,2.01,AT,1
2012Nov,173451,54.433,15911,4.993,3607,1.132,141309,247,6446,192969,3.883,44.346,0.077,2.023,60.558,184232,3.969,57.816,3.808,4.134,4933,2.092,1.548,3804,0.711,1.194,3141,0.986,4.649,3.165,1305,0.409,0.781,2.055,AT,1
2012Oct,172643,54.179,17061,5.354,5101,1.601,141010,250,8592,194806,3.893,44.252,0.078,2.696,61.134,184602,3.973,57.932,3.808,4.142,4906,2.156,1.54,5298,0.823,1.663,1013,0.318,4.882,3.396,2295,0.72,0.796,2.096,AT,1
2012Sep,185238,58.132,3965,1.244,4321,1.356,140996,563,7535,193524,3.875,44.247,0.177,2.365,60.732,184111,3.96,57.778,3.686,4.142,4895,2.248,1.536,4518,0.686,1.418,524,0.164,4.882,3.33,36,0.011,0.839,2.201,AT,1
2012Aug,185278,58.144,4058,1.273,4677,1.468,140960,570,7992,194012,3.862,44.236,0.179,2.508,60.885,184270,3.959,57.828,3.198,4.142,4868,2.284,1.528,4873,0.836,1.529,1227,0.385,4.882,3.237,3649,1.145,0.852,2.109,AT,1
2012Jul,182996,57.428,4156,1.304,4438,1.393,138609,577,7741,191590,3.894,43.498,0.181,2.429,60.125,182129,3.974,57.156,3.198,4.185,4826,2.365,1.514,4635,0.943,1.455,10201,3.201,4.882,3.109,6535,2.051,0.798,2.04,AT,1
2012Jun,177792,55.795,14204,4.457,3260,1.023,143787,556,6559,195255,3.938,45.123,0.174,2.058,61.275,187072,4.016,58.707,3.198,4.263,4727,2.453,1.484,3456,0.971,1.085,1180,0.37,4.15,1.417,1974,0.619,0.764,1.735,AT,1
2012May,179047,56.189,11800,3.703,3615,1.134,143352,912,6540,194462,4.018,44.987,0.286,2.052,61.026,186000,4.078,58.371,4.546,4.267,4649,2.738,1.459,3812,1.112,1.196,1875,0.588,2.847,1.203,2270,0.712,0.829,1.755,AT,1
2012Apr,177574,55.727,11803,3.704,4689,1.472,142725,890,7383,194067,4.019,44.79,0.279,2.317,60.902,184380,4.085,57.862,4.768,4.272,4801,2.745,1.507,4886,1.243,1.533,339,0.106,2.708,1.215,3548,1.114,0.823,1.72,AT,1
2012Mar,176570,55.411,11831,3.713,2457,0.771,141562,602,5695,190858,4.038,44.425,0.189,1.787,59.895,183370,4.09,57.545,4.775,4.282,4833,2.972,1.517,2654,1.264,0.833,1853,0.582,3.03,1.423,5259,1.65,0.922,1.769,AT,1
2012Feb,171729,53.892,12733,3.996,2990,0.938,136674,774,6989,187452,4.056,42.891,0.243,2.193,58.826,179285,4.104,56.263,4.768,4.32,4980,3.256,1.563,3187,1.278,1,6779,2.128,2.714,1.126,1858,0.583,0.868,1.61,AT,1
2012Jan,175278,55.006,13252,4.159,3844,1.206,141323,783,7859,192374,4.036,44.35,0.246,2.466,60.371,183351,4.091,57.539,4.702,4.288,4982,3.283,1.563,4041,1.165,1.268,1678,0.527,2.211,0.996,5939,1.864,-,-,AT,1
2011Dec,170423,54.952,14472,4.666,3219,1.038,135723,759,7904,188113,4.045,43.764,0.245,2.549,60.657,179678,4.106,57.937,4.687,4.232,5020,3.251,1.619,3415,1.171,1.101,489,0.158,1.604,0.852,1661,0.536,-,-,AT,1
2011Nov,169021,54.5,14498,4.675,3423,1.104,135076,733,7944,186941,4.043,43.555,0.236,2.562,60.279,178118,4.108,57.434,4.637,4.237,5203,3.265,1.678,3620,1.144,1.167,1319,0.425,4.509,2.064,1919,0.619,-,-,AT,1
2011Oct,168813,54.433,12990,4.189,4538,1.463,134309,750,8608,186341,4.043,43.308,0.242,2.776,60.085,176378,4.113,56.873,4.679,4.239,5228,3.232,1.686,4735,1.112,1.527,1544,0.498,4.509,2.085,2095,0.676,-,-,AT,1
2011Sep,167078,53.874,13025,4.2,5688,1.834,133859,787,9254,185790,4.026,43.162,0.254,2.984,59.907,174937,4.115,56.408,4.903,4.246,4969,3.243,1.602,5885,0.972,1.897,2260,0.729,4.462,2.126,1944,0.627,-,-,AT,1
2011Aug,166908,53.819,12977,4.185,6221,2.006,133908,739,9606,186106,4.03,43.178,0.238,3.098,60.009,174653,4.116,56.316,4.902,4.246,5036,3.223,1.624,6417,1.074,2.069,2256,0.727,4.462,2.203,2795,0.901,-,-,AT,1
2011Jul,165453,53.35,12996,4.191,7117,2.295,132893,725,10048,185567,4.013,42.851,0.234,3.24,59.835,173053,4.119,55.8,4.901,4.228,5200,3.139,1.677,7314,0.971,2.358,3001,0.968,4.462,2.23,4991,1.609,-,-,AT,1
2011Jun,173620,55.983,3337,1.076,6619,2.134,132006,764,9038,183577,4.036,42.565,0.246,2.914,59.194,171017,4.122,55.144,4.908,4.234,5744,3.143,1.852,6816,1.172,2.198,2354,0.759,4.846,2.564,3266,1.053,-,-,AT,1
2011May,171675,55.356,3346,1.079,7645,2.465,131921,1034,8486,182665,4,42.538,0.333,2.736,58.9,169172,4.134,54.549,4.171,4.223,5652,2.166,1.822,7841,1.098,2.528,5410,1.744,4.849,2.471,1398,0.451,-,-,AT,1
2011Apr,174024,56.114,4670,1.506,7307,2.356,132088,798,10643,186002,3.978,42.591,0.257,3.432,59.976,172829,4.127,55.728,4.168,4.225,5669,2.221,1.828,7504,1.073,2.42,5267,1.698,5.004,2.374,4341,1.4,-,-,AT,1
2011Mar,172685,55.682,4820,1.554,9424,3.039,131457,922,12871,186928,4.004,42.388,0.297,4.15,60.274,171672,4.126,55.355,3.948,4.238,5635,2.096,1.817,9620,1.08,3.102,1528,0.493,4.909,2.648,4585,1.478,-,-,AT,1
2011Feb,173092,55.813,3421,1.103,7358,2.372,129521,464,11816,183871,3.983,41.764,0.15,3.81,59.289,170737,4.131,55.054,4.046,4.242,5580,2.089,1.799,7554,0.989,2.436,2267,0.731,4.916,2.553,3130,1.009,-,-,AT,1
2011Jan,171967,55.45,2974,0.959,8068,2.601,128648,643,12596,183009,3.991,41.482,0.207,4.062,59.011,169106,4.136,54.528,4.066,4.252,5639,2.061,1.818,8265,0.923,2.665,8843,2.851,4.923,2.642,8659,2.792,-,-,AT,1
2010Dec,169169,57.172,10487,3.544,3537,1.195,131022,233,10633,183193,4.044,44.28,0.079,3.594,61.911,173789,4.145,58.733,3.759,4.274,5670,2.066,1.916,3734,1.038,1.262,1272,0.43,-,-,510,0.172,-,-,AT,1
2010Nov,169249,57.199,10404,3.516,4302,1.454,130876,241,11568,183955,4.094,44.23,0.081,3.909,62.169,174000,4.193,58.804,4.951,4.275,5457,2.112,1.844,4498,1.05,1.52,290,0.098,-,-,2818,0.952,-,-,AT,1
2010Oct,167111,56.476,10480,3.542,3836,1.296,129465,230,10599,181427,4.091,43.753,0.078,3.582,61.314,172202,4.199,58.197,4.966,4.278,5192,1.952,1.755,4033,0.949,1.363,1431,0.484,-,-,1983,0.67,-,-,AT,1
2010Sep,165887,56.062,10353,3.499,4634,1.566,128648,230,10719,180875,4.092,43.477,0.078,3.623,61.128,170811,4.2,57.727,4.925,4.286,5232,1.903,1.768,4831,0.937,1.633,3705,1.252,-,-,2896,0.979,-,-,AT,1
2010Aug,165736,56.011,10561,3.569,5387,1.821,126749,241,13034,181684,4.072,42.836,0.081,4.405,61.401,170795,4.186,57.721,4.909,4.279,5305,1.825,1.793,5584,1.033,1.887,1252,0.423,-,-,3226,1.09,-,-,AT,1
2010Jul,163988,55.421,11645,3.936,4077,1.378,125557,241,12479,179710,4.075,42.433,0.081,4.217,60.734,170462,4.189,57.609,4.913,4.281,5170,1.885,1.747,4078,0.997,1.378,4604,1.556,-,-,2395,0.809,-,-,AT,1
2010Jun,164334,55.538,11188,3.781,6397,2.162,125864,244,13955,181919,4.087,42.536,0.082,4.716,61.481,170126,4.19,57.495,4.831,4.284,5396,1.82,1.823,6398,1.074,2.162,1338,0.452,-,-,3581,1.21,-,-,AT,1
2010May,161122,54.452,11248,3.801,7306,2.469,122896,235,14820,179675,-,41.533,0.08,5.009,60.722,168075,-,56.802,-,-,4294,-,1.451,7307,-,2.469,1477,0.499,-,-,4751,1.606,-,-,AT,1
2010Apr,158894,53.699,10556,3.568,6951,2.349,122078,282,13888,176401,-,41.257,0.095,4.694,59.616,165183,-,55.825,-,-,4266,-,1.442,6952,-,2.349,1638,0.554,-,-,5371,1.815,-,-,AT,1
2010Mar,155599,52.586,10382,3.509,6688,2.26,119553,292,14385,172669,-,40.404,0.099,4.862,58.354,161943,-,54.73,-,-,4037,-,1.364,6689,-,2.261,4889,1.652,-,-,4641,1.568,-,-,AT,1
2010Feb,154164,52.1,10271,3.471,8482,2.867,118662,2017,13391,172917,-,40.103,0.682,4.526,58.438,160450,-,54.225,-,-,3984,-,1.346,8483,-,2.867,1263,0.427,-,-,2764,0.934,-,-,AT,1
2010Jan,152008,51.372,10267,3.47,9141,3.089,116556,2063,13318,171415,-,39.391,0.697,4.501,57.931,158607,-,53.602,-,-,3471,-,1.173,9338,-,3.156,8881,3.002,-,-,8224,2.779,-,-,AT,1
2009Dec,155896,54.122,10828,3.759,5349,1.857,122743,1966,12106,172072,-,42.613,0.683,4.203,59.738,163085,-,56.618,-,-,3442,-,1.195,5546,-,1.925,563,0.195,-,-,1074,0.373,-,-,AT,1
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AT,1
